t,x,y,yaw,v_cmd,w_cmd,delta_v,delta_w
1.298555612564087,-3.9996372853163797,3.5000000092079997,2.1785172592861775e-05,0.5,-0.7750438653458184,0.5,-0.7750438653458184
1.4929015636444092,-3.998483232715446,3.500000031917017,2.3562340136262342e-05,0.5,-1.0,0.0,-0.22495613465418163
1.6926929950714111,-3.9673101247041984,3.500000654915245,2.3734351048966423e-05,0.5,-1.0,0.0,0.0
1.8930318355560303,-3.8949270287864715,3.4999907820773557,-0.0024915218560274156,0.5,-1.0,0.0,0.0
2.091052293777466,-3.7967039115823313,3.4930934074359725,-0.16348859023154325,0.5,-1.0,0.0,0.0
2.2897233963012695,-3.698111670898408,3.4664031845027794,-0.3665620258302087,0.5,-0.8599236822370899,0.0,0.14007631776291007
2.4936773777008057,-3.606880429144384,3.4203672846364888,-0.5602250600398859,0.5,-0.5163938898512372,0.0,0.3435297923858527
2.69421124458313,-3.541549844858493,3.370078826311703,-0.7070060599884659,0.5,-0.16440170187098413,0.0,0.3519921879802531
2.894897699356079,-3.4698588060448756,3.3012159340776064,-0.8165262246492728,0.5,0.06682561799602152,0.0,0.23122731986700565
3.097031831741333,-3.4050878095303685,3.2302108092888844,-0.8435914506093971,0.5,0.19308197087732606,0.0,0.12625635288130455
3.297290802001953,-3.3571555866721017,3.1604252904733556,-0.8173061259724078,0.5,0.1563871206609164,0.0,-0.03669485021640967
3.4951720237731934,-3.3128759947089024,3.089310847609963,-0.7900026043545807,0.5,0.11985286778239773,0.0,-0.036534252878518664
3.69832706451416,-3.2557711572544594,3.027095668328359,-0.7562293844241841,0.5,0.016172732576032134,0.0,-0.1036801352063656
3.8974802494049072,-3.201270558509591,2.9661853472941004,-0.7428547314558002,0.5,-0.041143562485645574,0.0,-0.05731629506167771
4.09767484664917,-3.1421973036761486,2.8939004261266468,-0.75160019351619,0.5,-0.06428257567889387,0.0,-0.023139013193248292
4.301241397857666,-3.0741816191986366,2.8234352264666325,-0.7636162093439403,0.5,-0.06302980633332163,0.0,0.0012527693455722383
4.499487638473511,-3.0143978100939592,2.7626564348657063,-0.7848082321017191,0.5,-0.053131968191882886,0.0,0.009897838141438742
4.700385808944702,-2.965866062070562,2.7094379268449797,-0.7948361405534631,0.5,-0.04115766540295806,0.0,0.011974302788924827
4.905384063720703,-2.8945240284802063,2.6371160588675955,-0.8039589594036299,0.5,-0.04843071812996101,0.0,-0.007273052727002953
