t,x,y,yaw,v_cmd,w_cmd,delta_v,delta_w
1.2627041339874268,-3.999644913012215,3.5000000044032165,2.505534533024024e-05,0.5,-0.7750437666609761,0.5,-0.7750437666609761
1.456805944442749,-3.9961828743605,3.5000000846304498,2.7424766819206152e-05,0.5,-1.0,0.0,-0.22495623333902393
1.6560535430908203,-3.9580795202610055,3.500001067811073,2.9243735737744648e-05,0.5,-1.0,0.0,0.0
1.8605186939239502,-3.8797048168045625,3.4998834419049913,-0.01348346957093399,0.5,-1.0,0.0,0.0
2.0575692653656006,-3.796710708434698,3.4930944449893997,-0.16348406831638462,0.5,-1.0,0.0,0.0
2.2525994777679443,-3.698117579603373,3.466404273853357,-0.3665572754702609,0.5,-0.8599321998619135,0.0,0.1400678001380865
2.4561567306518555,-3.607208318805158,3.4203417362827246,-0.5602933964400826,0.5,-0.5160036966809316,0.0,0.3439285031809819
2.65925931930542,-3.52717220555872,3.3595238691060323,-0.7272756671576976,0.5,-0.19640650690955663,0.0,0.31959718977137497
2.866004705429077,-3.458605103407391,3.2884362047982045,-0.8289450742426845,0.5,0.08026325833374842,0.0,0.27666976524330505
3.0619826316833496,-3.4023028637514217,3.2117269739967793,-0.8643287707174585,0.5,0.19999462317163874,0.0,0.11973136483789032
3.2608165740966797,-3.3538365033577584,3.136463637986456,-0.8415477709237522,0.5,0.21847547517120225,0.0,0.018480851999563508
3.472088098526001,-3.3136735965449757,3.066209111829199,-0.808034745273448,0.5,0.1913681466145301,0.0,-0.02710732855667214
3.663102388381958,-3.27448497728736,3.0119542625060363,-0.7711887144806404,0.5,0.09588994214541949,0.0,-0.09547820446911062
3.8626484870910645,-3.2098665883968502,2.948517208513214,-0.7288961530597482,0.5,-0.016673498516581536,0.0,-0.11256344066200102
4.059472560882568,-3.1496436676721484,2.8850451788164846,-0.7252559200739859,0.5,-0.08678176820637148,0.0,-0.07010826968978995
4.262397766113281,-3.081940910149826,2.819313043914393,-0.739817199630778,0.5,-0.09907827661481436,0.0,-0.012296508408442874
4.462673902511597,-3.0063314703822113,2.7543559759824094,-0.7535326217745213,0.5,-0.1196033597753865,0.0,-0.02052508316057214
4.669394016265869,-2.9390151053528344,2.6886456192403227,-0.7706655044916348,0.5,-0.11451502884505727,0.0,0.005088330930329232
4.867902040481567,-2.8760037072999145,2.624617900455147,-0.7921678321513491,0.5,-0.10089653149264552,0.0,0.013618497352411746
5.073064088821411,-2.8103702343148096,2.5612038371165227,-0.810371350773298,0.5,-0.08528078041390133,0.0,0.015615751078744189
5.269864797592163,-2.742889287306549,2.49353100396829,-0.8259481068028878,0.5,-0.07862045468649041,0.0,0.006660325727410918
5.468130588531494,-2.690540763307692,2.4332881002853015,-0.8418813934226334,0.5,-0.058146758534191156,0.0,0.020473696152299256
5.6711859703063965,-2.623937534176026,2.3603302123264385,-0.8562076646541088,0.5,-0.04161041394358195,0.0,0.01653634459060921
