t,x,y,yaw,v_cmd,w_cmd,delta_v,delta_w
1.12406587600708,-3.9996838182089642,3.4999999975232567,-7.394273669942042e-06,0.5,-0.7750451060341094,0.5,-0.7750451060341094
1.313218593597412,-3.998528475893622,3.4999999816069973,-8.691427738149657e-06,0.5,-1.0,0.0,-0.22495489396589063
1.520339012145996,-3.9673560622282427,3.4999996711657935,-6.304176425833713e-06,0.5,-1.0,0.0,0.0
1.7148714065551758,-3.8949758514801154,3.4999877163041972,-0.002520692069135197,0.5,-1.0,0.0,0.0
1.914137601852417,-3.7967560394209414,3.493087790692412,-0.16351652673708178,0.5,-1.0,0.0,0.0
2.113260507583618,-3.6981674754367746,3.466396189621647,-0.3665845568265321,0.5,-0.8598716490405591,0.0,0.14012835095944087
2.318788528442383,-3.607042538522755,3.420593302502764,-0.5596344483000025,0.5,-0.5175097712330033,0.0,0.3423618778075558
2.5194127559661865,-3.5266702172303668,3.359762479994186,-0.7268746340513836,0.5,-0.19829701265859212,0.0,0.3192127585744112
2.7195606231689453,-3.4573568505437544,3.2875789484829645,-0.8310680576466752,0.5,0.08292230849792198,0.0,0.2812193211565141
2.918973445892334,-3.410834204144399,3.225616149753773,-0.864943548582799,0.5,0.2438296289804552,0.0,0.16090732048253323
3.118237018585205,-3.361254066433907,3.1525395885339367,-0.832603458286815,0.5,0.20910166574837044,0.0,-0.03472796323208477
3.3168129920959473,-3.3098715489932293,3.0833383531156193,-0.7885684254328608,0.5,0.13586431584304368,0.0,-0.07323734990532677
3.5184361934661865,-3.258557221353844,3.0210284947061696,-0.752785795592471,0.5,0.023197073170099364,0.0,-0.11266724267294431
3.718675374984741,-3.195432748375041,2.958570284332672,-0.7296186114500409,0.5,-0.061127117084789406,0.0,-0.08432419025488877
3.918018341064453,-3.1198327530651606,2.8928772505211566,-0.7234332405808838,0.5,-0.14143990189206837,0.0,-0.08031278480727896
4.119881629943848,-3.050860521848236,2.8240903372920845,-0.7424485149832437,0.5,-0.14795968158740258,0.0,-0.00651977969533421
4.326140880584717,-2.989440163766628,2.758823799437238,-0.76981853068005,0.5,-0.1282884944874047,0.0,0.019671187099997878
4.525376319885254,-2.9334894715565856,2.7035999954986587,-0.7910919334504621,0.5,-0.10032909336146288,0.0,0.02795940112594182
4.727915525436401,-2.8659433762912876,2.6347717963281254,-0.8135983826906349,0.5,-0.07891740901552509,0.0,0.021411684345937793
4.934763669967651,-2.8079820911353144,2.5655274699489996,-0.8372458230961443,0.5,-0.038584644812699055,0.0,0.040332764202826034
5.125468492507935,-2.7491369188854127,2.4903293033837213,-0.86005875709964,0.5,0.003440370815344547,0.0,0.0420250156280436
5.327950954437256,-2.6894339005715984,2.4109598672000025,-0.8716122970466057,0.5,0.034383572072694595,0.0,0.030943201257350048
5.5309882164001465,-2.6236239611844296,2.3331133691722217,-0.8659306558260136,0.5,0.020165059468268194,0.0,-0.0142185126044264
5.729280948638916,-2.5579266725625094,2.254494818483378,-0.8546177420007551,0.5,-0.013169689325095345,0.0,-0.03333474879336354
5.932461500167847,-2.491626120460323,2.1738741433913567,-0.8515838145977749,0.5,-0.04009086968685392,0.0,-0.026921180361758577
6.129426717758179,-2.420227635956163,2.094607674389285,-0.8550347244595392,0.5,-0.05819521671262388,0.0,-0.018104347025769955
6.328049421310425,-2.357726659631319,2.0131592513502103,-0.8660502625383211,0.5,-0.051144807196043446,0.0,0.007050409516580432
6.532766342163086,-2.305051757949938,1.947990498436306,-0.8738866745340467,0.5,-0.04226751631315498,0.0,0.008877290882888467
6.731655120849609,-2.2400928909214795,1.871984180802461,-0.8813480224452285,0.5,-0.03975920385091073,0.0,0.0025083124622442485
6.931191921234131,-2.179567078029234,1.7934910724115072,-0.8905436145020071,0.5,-0.028325487415659496,0.0,0.011433716435251234
7.13621187210083,-2.1166949925378593,1.714519767580192,-0.8957533033374029,0.5,-0.024098640155678582,0.0,0.004226847259980914
7.334846019744873,-2.0500237194882267,1.6379658591468098,-0.8983183527981619,0.5,-0.03196513764279055,0.0,-0.007866497487111965
7.536951065063477,-1.9856733248282654,1.5605760532247435,-0.90468089857011,0.5,-0.0343537264454979,0.0,-0.002388588802707349
7.738014459609985,-1.9325537934296468,1.4788872282087508,-0.9157121544997077,0.5,-0.010860979483779641,0.0,0.023492746961718255
7.9345409870147705,-1.8899529083225912,1.4198008356462672,-0.9192383890301732,0.5,0.001538427307321507,0.0,0.012399406791101148
8.137234449386597,-1.8347023664986568,1.3494094461810613,-0.9210729841979087,0.5,0.002127349567865984,0.0,0.000588922260544477
8.337393283843994,-1.776123172732461,1.2644183372056927,-0.9285969114327005,0.5,0.016993125237306273,0.0,0.01486577566944029
8.536054372787476,-1.7200082386110527,1.1847820095268786,-0.9328421526837516,0.5,0.028809003582034504,0.0,0.01181587834472823
8.737484216690063,-1.6668243310030693,1.106907529803127,-0.9365123219450673,0.5,0.04081181227925379,0.0,0.012002808697219286
8.938379526138306,-1.6068603543789144,1.0241818266722382,-0.9350326063697183,0.5,0.040142210202120325,0.0,-0.0006696020771334646
