t,x,y,yaw,v_cmd,w_cmd
1.3114397525787354,-3.9996873266285555,3.4999999997609574,3.5079527327486473e-06,0.5,-1.0
1.3964734077453613,-3.999687535187851,3.5000000001095226,4.383649095077247e-06,0.5,-1.0
1.4979431629180908,-3.9962261257771816,3.500000006864194,6.199298636415381e-06,0.5,-1.0
1.5975816249847412,-3.982372167534644,3.5000000401973175,6.286132555878787e-06,0.5,-1.0
1.6962957382202148,-3.95812306554855,3.500000135559662,6.904450394000187e-06,0.5,-1.0
1.7971935272216797,-3.9234793252456437,3.5000003467303475,7.556017401287102e-06,0.5,-1.0
1.8981878757476807,-3.8797498526271252,3.499880526068125,-0.013507692995148524,0.5,-1.0
1.9971630573272705,-3.830574006115748,3.4974719519675452,-0.09249375528278261,0.5,-1.0
2.098740816116333,-3.779985164133901,3.490043993878187,-0.19588763629828626,0.5,-1.0
2.1978230476379395,-3.7467851065701243,3.4822608152268404,-0.2650669426415408,0.5,-1.0
2.298444986343384,-3.6981675555011533,3.4663968921850947,-0.36658238884441824,0.5,-1.0
2.399742603302002,-3.65140858277294,3.445666461138162,-0.4684160553933907,0.5,-0.9482079849269803
2.4993789196014404,-3.606726642901892,3.4204690750656668,-0.569912648681987,0.5,-0.7711661513870882
2.5998682975769043,-3.564748169693444,3.391061353097419,-0.6677085692725114,0.5,-0.5721229023697267
2.6981794834136963,-3.525629334809216,3.357968522470698,-0.7669940131865356,0.5,-0.3278625897103319
2.7990899085998535,-3.489469670886125,3.3214916280524576,-0.846559752721779,0.5,-0.1352157347204147
2.8975889682769775,-3.4594560561809704,3.2827033581603513,-0.9040641386484733,0.5,0.04836031428924609
2.997154474258423,-3.431935274201432,3.242361185117514,-0.9386433428446537,0.5,0.15700619307164554
3.099456310272217,-3.4021513169265822,3.2021721900206175,-0.9492335625664742,0.5,0.22526987335457727
3.2010602951049805,-3.3714103910995923,3.161737452684815,-0.9356644227856217,0.5,0.20344955951396948
3.2988405227661133,-3.342973372556381,3.12217430543363,-0.9146749082585572,0.5,0.16253832656475697
3.397479772567749,-3.313902713010394,3.0833753677718763,-0.8931296601464398,0.5,0.08416692728651129
3.4981813430786133,-3.2808063503588447,3.043845230417215,-0.8730360496527266,0.5,0.013121275792029707
3.5991013050079346,-3.2468081248121368,3.0048742883988986,-0.859621408310981,0.5,-0.0685476002372987
3.7011148929595947,-3.2163142874722253,2.966491386590674,-0.8571764563536551,0.5,-0.11102136789637576
3.7988839149475098,-3.1861010452318275,2.928008471375842,-0.8630362625210668,0.5,-0.14250680458404363
3.898475408554077,-3.1601738211971058,2.8889835934199017,-0.877832369192357,0.5,-0.13044137218924384
3.9988415241241455,-3.1433779258896215,2.86259222739574,-0.8896622770636066,0.5,-0.12041098623647425
4.0991411209106445,-3.109466757348036,2.8204997327090595,-0.9032873078710967,0.5,-0.10262776698545857
4.1984946727752686,-3.0725294176013715,2.777422870807767,-0.9134793233627456,0.5,-0.10429735457348122
4.298619985580444,-3.0356079813634396,2.7406831336986315,-0.9194474423825866,0.5,-0.11404521893364519
4.398509740829468,-2.9986205074454553,2.7058910934971374,-0.9242904771291381,0.5,-0.14218364347979723
4.5000786781311035,-2.9661904891294126,2.663624340200479,-0.936077809709377,0.5,-0.1436420117099581
4.599248886108398,-2.935403065997982,2.6191969567100246,-0.9515501489323599,0.5,-0.13375763952352102
4.6974992752075195,-2.909452177142991,2.57578633074505,-0.9720371771987923,0.5,-0.09614970146745379
4.798714876174927,-2.8853906076540774,2.5318959668133147,-0.9927924207165276,0.5,-0.05200397194798844
4.900446653366089,-2.857676925151414,2.4914300821656523,-1.0014690089956468,0.5,-0.025850812808846525
5.000826835632324,-2.8295299003116883,2.4513967345571235,-1.0048549163160656,0.5,-0.023876891775320222
5.1006646156311035,-2.8038477370176187,2.410055628735316,-1.0068728241468536,0.5,-0.023585590952028217
5.198570966720581,-2.7783398328365383,2.368633614550989,-1.0078861418667948,0.5,-0.031131262438666922
5.302426815032959,-2.7459823979603337,2.3221810673374303,-1.0086212798449552,0.5,-0.04278237354235074
5.400017261505127,-2.7135442682118485,2.275591564027426,-1.009990127288481,0.5,-0.05997252275447537
5.500092029571533,-2.696388170422442,2.2285178811713413,-1.0186200112757577,0.5,-0.041354557067649886
5.602961540222168,-2.685298994167619,2.1969424818481933,-1.024952676873743,0.5,-0.018995576263498033
5.700448274612427,-2.658230843622022,2.1486947428422876,-1.034511254933493,0.5,0.004308123758244534
5.800509929656982,-2.6273051148763527,2.099961858141937,-1.0413234017656487,0.5,0.014932336777997351
5.902492046356201,-2.5986055883393595,2.056583015840929,-1.0407349654242606,0.5,0.01002455261499429
6.002002954483032,-2.570393923817787,2.0150999450201494,-1.0378129924957302,0.5,-0.008826892762271301
6.1008570194244385,-2.549802901246454,1.9745785379672849,-1.0368076082978737,0.5,-0.01767884428162921
6.203989744186401,-2.531257648107121,1.9342822369388983,-1.0376895478995487,0.5,-0.018939639538481327
6.302334308624268,-2.512670785682847,1.9008133647039782,-1.0373044591115281,0.5,-0.021965730209641612
6.401583194732666,-2.49396437684815,1.8687850345697201,-1.0369251814447913,0.5,-0.028812559750620262
6.501814842224121,-2.471259478819475,1.8155043343833754,-1.0432227895200756,0.5,-0.014541406632902444
6.603070020675659,-2.44853473811178,1.7588584705982189,-1.050975804383942,0.5,0.01156403058664609
6.7022929191589355,-2.4373747736095193,1.7130129323219065,-1.0554439661088073,0.5,0.046789239978791385
6.80276083946228,-2.427551967483354,1.6681084634620658,-1.057522360678487,0.5,0.08149068591629097
6.9020349979400635,-2.421349702475281,1.6150362581677125,-1.0655727742825418,0.5,0.1381786260805815
7.00287127494812,-2.4163659671822724,1.5613646011244693,-1.0705445376737546,0.5,0.1995885901613455
7.10367226600647,-2.419385426063389,1.5079822564828622,-1.0680772165200982,0.5,0.26219097955914056
7.200415134429932,-2.422034762951545,1.4553254940087972,-1.0591333714700149,0.5,0.3122564158637602
7.302008152008057,-2.4061450274272262,1.434297278237938,-1.040647817078866,0.5,0.29395375170583876
7.402569770812988,-2.3809939517720666,1.4036345925655933,-1.006375725210239,0.5,0.21457535525303625
7.504210948944092,-2.3735013348131573,1.3560824819097732,-0.982544314670167,0.5,0.16341237175447537
7.6032328605651855,-2.372849337475853,1.3025626002366937,-0.970058816181104,0.5,0.1575860950096756
7.704938888549805,-2.369298841355362,1.250036506633311,-0.9667032622353384,0.5,0.18052302667636896
7.805135011672974,-2.365850306921881,1.1978984776740305,-0.9665903202056081,0.5,0.22129207910142087
7.902437210083008,-2.3700143537307414,1.142940393712161,-0.9655404420930285,0.5,0.2797337108164283
8.003772735595703,-2.3766985067867914,1.0875827128521909,-0.9609103241278746,0.5,0.3436270431446473
8.103127002716064,-2.366884417238835,1.0383107060117913,-0.9481693935150043,0.5,0.36830011782992583
8.200907230377197,-2.3542688472318423,0.9905761076861146,-0.9286227319970028,0.5,0.3607548602847684
8.301896810531616,-2.3466159817421164,0.9466224822215663,-0.9007277652212985,0.5,0.3300191044780646
8.403225183486938,-2.3389661147847343,0.9039324385063283,-0.8717746068136291,0.5,0.28665481226398054
8.502810716629028,-2.329518222269361,0.8562890752155763,-0.8529521387628906,0.5,0.25672623566358677
8.604382276535034,-2.3205497263812456,0.8090887140364935,-0.8388742123841544,0.5,0.24039678400150416
8.70179271697998,-2.311913805834233,0.7660933851409792,-0.8224294202380991,0.5,0.22348841201313646
8.801698207855225,-2.3033927910481733,0.7237112468376665,-0.8078503009787452,0.5,0.2089601745615737
8.901939392089844,-2.300551146282099,0.679486852201332,-0.7948460422085333,0.5,0.20753929638296253
9.002561330795288,-2.298728293646191,0.6502042771374867,-0.7876091686910707,0.5,0.2123866662968797
9.104253768920898,-2.2881943503637614,0.6113347708321575,-0.7751532113962617,0.5,0.20519198346712042
9.203847885131836,-2.2744236117382455,0.5747671267327501,-0.7613538483338705,0.5,0.18490807452190805
9.303080081939697,-2.2660112952486635,0.5391748629144386,-0.7481187302049382,0.5,0.16698777642761092
9.402350425720215,-2.259323392372683,0.5041509999681208,-0.7364018776247688,0.5,0.1544094790776183
9.503506183624268,-2.2360541837232315,0.4686965827245704,-0.7271047783443452,0.5,0.12560221126837404
9.60293960571289,-2.2086030923106477,0.4332819168841917,-0.7194176775755785,0.5,0.086857919082452
9.703049421310425,-2.1726595732581693,0.40611647725646494,-0.7100134712569887,0.5,0.023756934844659558
9.802730083465576,-2.1348680069389534,0.38078992237810416,-0.7032517845725629,0.5,-0.048675182608420006
9.903546810150146,-2.110329681749964,0.3654528717628587,-0.6997500767769198,0.5,-0.10802206917608828
10.003618001937866,-2.0877460021708867,0.3515227722754619,-0.7031081754220908,0.5,-0.14841013364025787
10.102828741073608,-2.0895137201986715,0.3083352362211933,-0.7315956376562335,0.5,-0.08406262464157799
10.204718589782715,-2.096185911855785,0.26194121487226196,-0.7667998665967075,0.5,0.04362128798484782
10.305315017700195,-2.1008644198435595,0.22344138619387888,-0.795338425267687,0.5,0.17781740860503312
10.40588092803955,-2.1073749772970256,0.18517920158724666,-0.8085355573675711,0.5,0.29091009939885265
10.506065845489502,-2.3636360213415717,-0.13946661621550493,-0.9220234975142283,0.5,1.0
10.605411529541016,-2.635836659589856,-0.39362676542717034,-1.0224264084313166,0.5,1.0
10.707765579223633,-2.4659335448516653,-0.27762337812873294,-0.9318881931793422,0.5,1.0
10.807119369506836,-2.20976653556957,-0.06500856486265771,-0.7278922187019978,0.5,0.806005219201203
10.905658960342407,-2.1296369137947,-0.002674563924008666,-0.607988379586675,0.5,0.36740824300137226
11.005189418792725,-2.110722832858776,-0.0020868057968153053,-0.5297656295383991,0.5,0.027346577094987168
11.10545825958252,-2.094721596169412,-0.00592545456284288,-0.49127355983455856,0.5,-0.19742540523265562
11.204102754592896,-2.08031455718809,-0.01071485442837794,-0.48909864722445995,0.5,-0.3100905625674929
11.306745767593384,-2.064197881103593,-0.0017401923909288186,-0.5273592214818725,0.5,-0.3197028808277088
11.405652523040771,-2.0506757214054563,0.010746819137589014,-0.5881128409213182,0.5,-0.247496282960446
11.506794452667236,-2.3520652722269597,-0.4348940819854956,-0.7969246379850159,0.5,0.8652455779079035
11.605525732040405,-2.7412540569509876,-0.8032319562680117,-1.0244532642547046,0.5,1.0
11.70690655708313,-2.8287256478464355,-0.8774128026713051,-1.1001155269898923,0.5,1.0
11.806595802307129,-2.8775590964298936,-0.8995801558405336,-1.0823937117033369,0.5,1.0
11.904080390930176,-2.9191963734667885,-0.9411831892283216,-1.0532171572693654,0.5,1.0
12.006081342697144,-2.9549006154643034,-0.962706876641438,-1.0240434582904172,0.5,1.0
12.1053946018219,-2.9731639062500594,-1.000467163880229,-0.9765006951566009,0.5,1.0
12.20642900466919,-2.985785473820769,-1.0266630200220939,-0.9284550735496137,0.5,1.0
12.306225538253784,-3.00729701572571,-1.054688542208912,-0.8748404973347306,0.5,1.0
12.405541181564331,-3.018501953670825,-1.0673268630840544,-0.835448570835734,0.5,1.0
12.506930589675903,-3.0105951243737934,-1.1010534815678787,-0.7651283356364473,0.5,1.0
12.607212781906128,-2.9909136365293807,-1.1384401967107811,-0.6901420513715658,0.5,1.0
12.709064245223999,-2.958846355057925,-1.1593432054024784,-0.6015269199132717,0.5,1.0
12.809528589248657,-2.921157649045299,-1.1725280095769453,-0.5091218962009821,0.5,1.0
12.908641338348389,1.764497034598599,-1.9531606888495976,0.8609366890443083,-0.05948098939812774,-1.0
13.007465362548828,0.6175704686238368,3.6223621471258434,2.5625630523727305,0.5,0.31408261084176115
13.110394477844238,-0.697176407453787,4.20942825875184,2.9294884009761057,0.5,0.44966015398311143
13.207081079483032,-0.7423329697746794,4.217231229680649,3.0218596117946226,0.5,-0.15605721667491612
13.306711673736572,-0.784678788024459,4.225299208861,3.0861963730389843,0.5,-0.9847396130708214
13.40834927558899,-0.8262456914971756,4.231649910644353,3.1168525415013106,0.5,-1.0
13.508338928222656,-0.8748504962039925,4.235601162328121,3.0992165360885466,0.5,-1.0
13.608235120773315,-0.9259584727926491,4.241809893139595,3.0166384991097233,0.5,-0.604001579026079
13.705287218093872,-0.9850364254851449,4.2545948336594765,2.908054928698427,0.5,-0.05348404277316232
13.807202816009521,-1.0432631054184731,4.272661776384859,2.827324733827388,0.5,0.40348373103526564
13.907344818115234,-1.1005098580867658,4.289378760292276,2.8035815566457547,0.5,0.7013098370354358
14.007917404174805,-1.1575859777781452,4.305158085330649,2.835987366570871,0.5,0.8356563528900465
14.108495712280273,-1.186548699901179,4.317086485932142,2.8640038637267287,0.5,0.8731921436174955
14.208545446395874,-1.2313072280910715,4.332736147182424,2.9431094879003137,0.5,0.8019711832885917
14.309534072875977,-1.2775363486635225,4.3374759385635056,3.0314765651947257,0.5,0.6777658158869927
14.406771898269653,-1.3250521384194385,4.334602750811714,3.1259290334628966,0.5,0.525120861126686
14.508317232131958,-1.3791189810581153,4.331382986768936,-3.081983613555971,0.5,0.3978744324486776
14.60823941230774,-1.4349174449735753,4.325805858254181,-3.014712819284592,0.5,0.29272063235845214
14.70831847190857,-1.4888995229562307,4.317869817569967,-2.972383099379278,0.5,0.23529242335852005
14.808377981185913,-1.5422643125070579,4.3081659008518685,-2.9404258837083255,0.5,0.2316923124294496
14.907332181930542,-1.5986883049591887,4.296812589961107,-2.913957068483246,0.5,0.2907493944890821
15.007203340530396,-1.6553120797014496,4.284148917061869,-2.888649233141254,0.5,0.35474197725441575
15.108247756958008,-1.6981936205709742,4.269284250963877,-2.861409808680752,0.5,0.4020453637800497
15.21067762374878,-1.738990175097645,4.2527345378939305,-2.827752006988487,0.5,0.4304364821895148
15.311589241027832,-1.7820766358245232,4.240305452727616,-2.7927231775300023,0.5,0.4479979445781678
15.411261558532715,-1.8248891068029685,4.226647723537108,-2.755179447624235,0.5,0.4575731731325735
15.508718967437744,-1.8730485429556862,4.209831375461024,-2.714860266237864,0.5,0.46869174729963414
15.608431339263916,-1.9206072617648497,4.191145019283457,-2.6732563305176043,0.5,0.4990126643318599
15.71001672744751,-1.9637367448497094,4.167688452365455,-2.628092316278094,0.5,0.5094975130745993
15.814328908920288,-1.9918957237039803,4.150961813904444,-2.5971397633214672,0.5,0.5113196479606321
15.909581661224365,-2.041906087789785,4.12469858934332,-2.5453447118570014,0.5,0.509896592276621
16.010044813156128,-2.093877843671101,4.096380367925367,-2.4917199054522636,0.5,0.5083321270750409
16.108432292938232,-2.141081688433693,4.066792917865703,-2.443620307704301,0.5,0.5113564190532979
16.208670377731323,-2.18594002144908,4.035756388225831,-2.3974852237020796,0.5,0.5180273039198877
16.308592796325684,-2.2247205569527635,4.000657489512188,-2.3467635824128927,0.5,0.5146264943617882
16.4078209400177,-2.2603945434300106,3.963152741647875,-2.293904810195737,0.5,0.5018244160493989
16.51065683364868,-2.287870094133103,3.9222610065790575,-2.235830805065359,0.5,0.4692887324494758
16.608840942382812,-2.311735158537325,3.8790731755064685,-2.178333264175966,0.5,0.42726135131546694
16.709608554840088,-2.3385916505244553,3.837543336803064,-2.1253728579543822,0.5,0.39120601087257717
16.807904720306396,-2.364007051429049,3.794991868162966,-2.078050880702512,0.5,0.3453271476110939
16.908504962921143,-2.3745626722723574,3.748329790496945,-2.0330574870570914,0.5,0.30445287864559967
17.00895643234253,-2.3818314390893853,3.700326244630807,-1.9925179137338467,0.5,0.2702260855685988
17.11046290397644,-2.4036943268565953,3.6500468344385975,-1.9571086628313317,0.5,0.26789738587639494
17.210370302200317,-2.4248064400998914,3.5989680785125016,-1.9260334206216776,0.5,0.2857892849417402
17.309473276138306,-2.449400233209083,3.547894393836983,-1.8990853937803849,0.5,0.3233959517298247
17.4141263961792,-2.4725810367904635,3.496543782714283,-1.8712904349172348,0.5,0.34737810243699635
17.509891271591187,-2.4826498294911525,3.4654702814216902,-1.8509752563954789,0.5,0.36210630810021105
17.61076283454895,-2.4963658382358496,3.418482362089662,-1.8162903123596852,0.5,0.36684521293981964
17.711230039596558,-2.5066684380015958,3.370546085419401,-1.7813713785778165,0.5,0.3634944824222068
17.813196897506714,-2.51475628471386,3.322025224548101,-1.7464276776697338,0.5,0.33890640632107893
17.91167712211609,-2.51741450641575,3.2747288408818114,-1.7086178690629694,0.5,0.3070435956470762
18.0094256401062,-2.5170065174220797,3.227603527982353,-1.671671807233611,0.5,0.2695142703195506
18.1091570854187,-2.5246557335805724,3.18010216973704,-1.6472753691220803,0.5,0.24896293831376423
18.210299730300903,-2.5341211370927494,3.1321059389621695,-1.6289879228113906,0.5,0.2605807778783395
18.312994241714478,-2.526945173409232,3.0806304041693315,-1.601699143645555,0.5,0.25086885313228535
18.409761905670166,-2.515468787440304,3.028497990379772,-1.5727652874679194,0.5,0.21318668754922976
18.509936332702637,-2.510362173312549,2.9765754445923887,-1.5443120530469159,0.5,0.18333964069749395
18.611003875732422,-2.5046713753219487,2.924702969903745,-1.518511815346062,0.5,0.1512462600409447
18.710360527038574,-2.5245541943014542,2.8696957290128378,-1.496853360733669,0.5,0.1704083666473586
18.811023950576782,-2.5453267797455412,2.814516138488921,-1.478581717872494,0.5,0.21770748130147285
18.911295413970947,-2.554549641284317,2.764152045569594,-1.4631252554647955,0.5,0.254356908963265
19.011882066726685,-2.562638868317059,2.7140273578141216,-1.4441489656929059,0.5,0.28608057178946816
19.111870527267456,-2.5657164217283803,2.664957357366571,-1.4205646220438444,0.5,0.3003471097526426
19.211105346679688,-2.5670772815549703,2.632396671203778,-1.4024740334466066,0.5,0.29541341176263636
19.314127206802368,-2.564895099091551,2.5851463380225965,-1.3703937160076731,0.5,0.2711204807704423
19.414780139923096,-2.559774906394088,2.538749239270186,-1.3372050756198426,0.5,0.2323605469818918
