t,x,y,yaw,v_cmd,w_cmd,delta_v,delta_w
0.9222443103790283,-3.9996997908524845,3.4999999859103084,-5.634885822799919e-05,0.5,-1.0,0.5,-1.0
1.1130619049072266,-3.9962377380641363,3.4999997838778887,-5.397429330320153e-05,0.5,-1.0,0.0,0.0
1.318544864654541,-3.9581362341016373,3.499997603587856,-5.367337275000557e-05,0.5,-1.0,0.0,0.0
1.5151317119598389,-3.879762834813846,3.499873319885895,-0.013567595235396199,0.5,-1.0,0.0,0.0
1.7132210731506348,-3.779997669503842,3.490031387987848,-0.19594433646256115,0.5,-1.0,0.0,0.0
1.9189770221710205,-3.698182284367369,3.466380566475395,-0.3666376405038076,0.5,-1.0,0.0,0.0
2.119720935821533,-3.6072799520652588,3.42002462758587,-0.5710643844172183,0.5,-0.4295006411988656,0.0,0.5704993588011344
2.316936731338501,-3.5294316875802414,3.357298207308964,-0.7676633207724872,0.5,0.08126427582995821,0.0,0.5107649170288238
2.521052360534668,-3.4646136301992656,3.2850711608833727,-0.8543037853706095,0.5,0.4069876630600159,0.0,0.32572338723005767
2.721467971801758,-3.415153406513293,3.211324327111601,-0.8343931382677251,0.5,0.4148272770668998,0.0,0.007839614006883933
2.916565179824829,-3.3632316434655314,3.142914539487281,-0.7433799593296171,0.5,0.04332684222093924,0.0,-0.37150043484596057
3.120859146118164,-3.3001701772940373,3.080292731044976,-0.6897230596083826,0.5,-0.13396041753750232,0.0,-0.17728725975844156
3.3230862617492676,-3.238064192886323,3.018930574078921,-0.7009242797340028,0.5,-0.18502076583190732,0.0,-0.051060348294405006
3.5220272541046143,-3.182126249521002,2.9621348461776775,-0.7329963332687749,0.5,-0.08972455917539529,0.0,0.09529620665651203
3.722484588623047,-3.137787000339087,2.9116546449241407,-0.7665959324480661,0.5,-0.029801415493393518,0.0,0.05992314368200177
3.926243782043457,-3.075612093736139,2.847730684415354,-0.7752163150176136,0.5,-0.02240315555401745,0.0,0.007398259939376067
4.125635623931885,-3.003853493979617,2.7848857612363798,-0.7701245875288109,0.5,-0.12011418496758955,0.0,-0.0977110294135721
4.32545280456543,-2.930523653940144,2.7150864286335348,-0.7771993757170139,0.5,-0.14025201151412053,0.0,-0.020137826546530985
4.528103590011597,-2.861226265697116,2.646470123525887,-0.8011701716692256,0.5,-0.12046016492304931,0.0,0.01979184659107122
4.730108737945557,-2.796968616239365,2.5738262170213506,-0.832808034639165,0.5,-0.03709476678407947,0.0,0.08336539813896984
4.928481578826904,-2.735430256109609,2.4960711697732356,-0.8561328499882612,0.5,0.018786277821447463,0.0,0.05588104460552693
5.126448392868042,-2.6705992155932963,2.4215696668142,-0.8577816965910683,0.5,0.0009903801621608949,0.0,-0.017795897659286568
5.328598976135254,-2.616159210141666,2.3599944779320747,-0.8522320150809881,0.5,-0.04884823631428985,0.0,-0.04983861647645074
5.5278754234313965,-2.5550283347172607,2.2812762501587267,-0.8600235321342926,0.5,-0.0319419840627961,0.0,0.016906252251493746
5.728778123855591,-2.490889673369761,2.1986334113551047,-0.8764727211155873,0.5,0.0066348822446098375,0.0,0.038576866307405935
5.929964780807495,-2.4216262237937465,2.1208980279468252,-0.8789892260111017,0.5,-0.017158346719207226,0.0,-0.023793228963817064
6.130961656570435,-2.3553734497199006,2.0388817651394002,-0.8823343527655125,0.5,-0.027906293671341315,0.0,-0.010747946952134088
6.336938858032227,-2.289560641641729,1.9558841065416128,-0.8905811890348019,0.5,-0.015972054064527716,0.0,0.011934239606813599
6.537257194519043,-2.216871876042325,1.8706921438298496,-0.894921874033578,0.5,-0.03326330000620596,0.0,-0.017291245941678246
6.734076738357544,-2.1518987030123173,1.7854773324411972,-0.904485724647798,0.5,-0.011716478484188933,0.0,0.021546821522017028
6.932744026184082,-2.0931010742350744,1.712393769744678,-0.9063910586409237,0.5,-0.02390668045250653,0.0,-0.012190201968317596
7.138644218444824,-2.0408784380883884,1.6563238028742349,-0.8980152597469258,0.5,-0.08215211428997594,0.0,-0.05824543383746941
7.334004640579224,-1.9783080277324239,1.5833454223110779,-0.9011946353255225,0.5,-0.09918908766257643,0.0,-0.01703697337260049
7.534124374389648,-1.9239760296984119,1.4988577867970276,-0.9295156487470511,0.5,0.00888421875388568,0.0,0.10807330641646211
7.73805832862854,-1.8703160793851836,1.4135850404148917,-0.9447029314426891,0.5,0.0753525570535358,0.0,0.06646833829965013
7.939496278762817,-1.8092355335926005,1.3316731284966652,-0.934820841995294,0.5,0.034977877978286734,0.0,-0.04037467907524907
8.138803005218506,-1.7466617021413102,1.2522951098002368,-0.9177646946470303,0.5,-0.03799107466698023,0.0,-0.07296895264526695
8.341681241989136,-1.6894650889114682,1.1731656635877803,-0.9208269082121167,0.5,-0.030712497080778625,0.0,0.0072785775862016025
8.541733264923096,-1.6324877788287635,1.09339431325206,-0.9321715801010733,0.5,0.005372413108488562,0.0,0.03608491018926719
8.74472975730896,-1.5816929197147633,1.0254716566665047,-0.9360482207863149,0.5,0.011513340962300328,0.0,0.006140927853811766
8.947744846343994,-1.5250924994388042,0.9401166118999487,-0.9383327831320527,0.5,0.028429853651291387,0.0,0.01691651268899106
9.14772891998291,-1.477224864408031,0.8558460319255405,-0.9416464807333281,0.5,0.06805697510559498,0.0,0.039627121454303596
