step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
45,4.5,2.050005,0.0,0.0,2.25,0.0,0.0,0.199995,0.0,0.499967,0.0,9e-06,0.0,8.9e-05,0.0
46,4.6,2.100002,0.0,0.0,2.3,0.0,0.0,0.199998,0.0,0.499976,0.0,1e-05,-0.0,9.7e-05,-0.0
47,4.7,2.149999,0.0,0.0,2.35,0.0,0.0,0.200001,0.0,0.499985,0.0,9e-06,-0.0,9.1e-05,-0.0
48,4.8,2.199998,0.0,0.0,2.4,0.0,0.0,0.200002,0.0,0.499993,-0.0,8e-06,-0.0,7.6e-05,-0.0
49,4.9,2.249997,0.0,0.0,2.45,0.0,0.0,0.200003,0.0,0.499999,-0.0,6e-06,-0.0,5.8e-05,-0.0
50,5.0,2.299997,0.0,0.0,2.5,0.0,0.0,0.200003,0.0,0.500003,-0.0,4e-06,-0.0,3.9e-05,-0.0
51,5.1,2.349997,0.0,-0.0,2.55,0.0,0.07854,0.200003,-0.07854,0.500005,-0.0,2e-06,-0.0,2.2e-05,-0.0
52,5.2,2.399998,0.0,-0.0,2.599846,0.003923,0.15708,0.199887,-0.15708,0.500006,-0.0,1e-06,-0.0,9e-06,-0.0
53,5.3,2.449998,0.0,-0.0,2.64923,0.011745,0.235619,0.199578,-0.235619,0.500006,-0.0,-0.0,-0.0,-1e-06,-0.0
54,5.4,2.499999,-0.0,-0.0,2.697849,0.023417,0.314159,0.199231,-0.314159,0.500005,0.07,-1e-06,0.07,-7e-06,0.7
55,5.5,2.549999,-0.0,0.007,2.745402,0.038868,0.392699,0.19923,-0.385699,0.489122,0.14,-0.010883,0.07,-0.108833,0.7
56,5.6,2.59891,0.000342,0.021,2.791596,0.058002,0.471239,0.201127,-0.450239,0.472139,0.21,-0.016983,0.07,-0.169829,0.7
57,5.7,2.646114,0.001334,0.042,2.836146,0.080701,0.549779,0.20594,-0.507779,0.453844,0.28,-0.018295,0.07,-0.182947,0.7
58,5.8,2.691458,0.003239,0.07,2.878778,0.106826,0.628319,0.214054,-0.558319,0.438257,0.35,-0.015587,0.07,-0.155872,0.7
59,5.9,2.735177,0.006305,0.105,2.919229,0.136216,0.706858,0.225282,-0.601858,0.428178,0.42,-0.010079,0.07,-0.100792,0.7
60,6.0,2.777759,0.010792,0.147,2.957249,0.168688,0.785398,0.239056,-0.638398,0.375678,0.49,-0.0525,0.07,-0.525,0.7
61,6.1,2.814921,0.016295,0.196,2.992604,0.204043,0.863938,0.258497,-0.667938,0.347252,0.56,-0.028426,0.07,-0.28426,0.7
62,6.2,2.848982,0.023057,0.252,3.025077,0.242064,0.942478,0.281022,-0.690478,0.346485,0.63,-0.000767,0.07,-0.00767,0.7
63,6.3,2.882536,0.031697,0.315,3.054466,0.282515,1.021018,0.304088,-0.706018,0.308603,0.7,-0.037882,0.07,-0.378817,0.7
64,6.4,2.911878,0.041258,0.385,3.080591,0.325147,1.099557,0.330238,-0.714558,0.310472,0.77,0.001869,0.07,0.018686,0.7
65,6.5,2.940652,0.052918,0.462,3.103291,0.369697,1.178097,0.35609,-0.716097,0.281788,0.84,-0.028684,0.07,-0.286838,0.7
66,6.6,2.965877,0.065478,0.546,3.122425,0.415891,1.256637,0.383792,-0.710637,0.296984,0.91,0.015196,0.07,0.151962,0.7
67,6.7,2.991257,0.0809,0.637,3.137876,0.463444,1.335177,0.409679,-0.698177,0.281832,0.96615,-0.015152,0.05615,-0.151525,0.561503
68,6.8,3.013913,0.097663,0.733615,3.149548,0.512062,1.413717,0.436032,-0.680102,0.309562,1.001985,0.027731,0.035835,0.277305,0.358348
69,6.9,3.036906,0.11839,0.833813,3.15737,0.561447,1.492257,0.459141,-0.658443,0.303992,0.986988,-0.00557,-0.014997,-0.055699,-0.149972
70,7.0,3.057336,0.1409,0.932512,3.161292,0.611292,1.570796,0.481742,-0.638284,0.337443,0.963273,0.033451,-0.023715,0.334508,-0.237145
71,7.1,3.077442,0.168001,1.028839,3.161292,0.661292,1.570796,0.500367,-0.541957,0.389943,0.932458,0.0525,-0.030815,0.525,-0.308154
72,7.2,3.097555,0.201408,1.122085,3.161292,0.711292,1.570796,0.513853,-0.448711,0.395924,0.864802,0.005981,-0.067656,0.059809,-0.676555
73,7.3,3.114731,0.237081,1.208565,3.161292,0.761292,1.570796,0.526276,-0.362231,0.426552,0.801802,0.030628,-0.063,0.306278,-0.630003
