step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
50,5.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.5,0.785398,0.0,0.785398,0.0,7.853982
51,5.1,2.55,0.0,0.07854,2.55,0.0,0.07854,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
52,5.2,2.599846,0.003923,0.15708,2.599846,0.003923,0.15708,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
53,5.3,2.64923,0.011745,0.235619,2.64923,0.011745,0.235619,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
54,5.4,2.697849,0.023417,0.314159,2.697849,0.023417,0.314159,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
55,5.5,2.745402,0.038868,0.392699,2.745402,0.038868,0.392699,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
56,5.6,2.791596,0.058002,0.471239,2.791596,0.058002,0.471239,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
57,5.7,2.836146,0.080701,0.549779,2.836146,0.080701,0.549779,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
58,5.8,2.878778,0.106826,0.628319,2.878778,0.106826,0.628319,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
59,5.9,2.919229,0.136216,0.706858,2.919229,0.136216,0.706858,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
60,6.0,2.957249,0.168688,0.785398,2.957249,0.168688,0.785398,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
61,6.1,2.992604,0.204043,0.863938,2.992604,0.204043,0.863938,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
62,6.2,3.025077,0.242064,0.942478,3.025077,0.242064,0.942478,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
63,6.3,3.054466,0.282515,1.021018,3.054466,0.282515,1.021018,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
64,6.4,3.080591,0.325147,1.099557,3.080591,0.325147,1.099557,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
65,6.5,3.103291,0.369697,1.178097,3.103291,0.369697,1.178097,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
66,6.6,3.122425,0.415891,1.256637,3.122425,0.415891,1.256637,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
67,6.7,3.137876,0.463444,1.335177,3.137876,0.463444,1.335177,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
68,6.8,3.149548,0.512062,1.413717,3.149548,0.512062,1.413717,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
69,6.9,3.15737,0.561447,1.492257,3.15737,0.561447,1.492257,0.0,0.0,0.5,0.785398,0.0,0.0,0.0,0.0
70,7.0,3.161292,0.611292,1.570796,3.161292,0.611292,1.570796,0.0,0.0,0.5,0.0,0.0,-0.785398,0.0,-7.853982
71,7.1,3.161292,0.661292,1.570796,3.161292,0.661292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
72,7.2,3.161292,0.711292,1.570796,3.161292,0.711292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
73,7.3,3.161292,0.761292,1.570796,3.161292,0.761292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
74,7.4,3.161292,0.811292,1.570796,3.161292,0.811292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
75,7.5,3.161292,0.861292,1.570796,3.161292,0.861292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
76,7.6,3.161292,0.911292,1.570796,3.161292,0.911292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
77,7.7,3.161292,0.961292,1.570796,3.161292,0.961292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
78,7.8,3.161292,1.011292,1.570796,3.161292,1.011292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
79,7.9,3.161292,1.061292,1.570796,3.161292,1.061292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
80,8.0,3.161292,1.111292,1.570796,3.161292,1.111292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
81,8.1,3.161292,1.161292,1.570796,3.161292,1.161292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
82,8.2,3.161292,1.211292,1.570796,3.161292,1.211292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
83,8.3,3.161292,1.261292,1.570796,3.161292,1.261292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
84,8.4,3.161292,1.311292,1.570796,3.161292,1.311292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
85,8.5,3.161292,1.361292,1.570796,3.161292,1.361292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
86,8.6,3.161292,1.411292,1.570796,3.161292,1.411292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
87,8.7,3.161292,1.461292,1.570796,3.161292,1.461292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
88,8.8,3.161292,1.511292,1.570796,3.161292,1.511292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
89,8.9,3.161292,1.561292,1.570796,3.161292,1.561292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
90,9.0,3.161292,1.611292,1.570796,3.161292,1.611292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
91,9.1,3.161292,1.661292,1.570796,3.161292,1.661292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
92,9.2,3.161292,1.711292,1.570796,3.161292,1.711292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
93,9.3,3.161292,1.761292,1.570796,3.161292,1.761292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
94,9.4,3.161292,1.811292,1.570796,3.161292,1.811292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
95,9.5,3.161292,1.861292,1.570796,3.161292,1.861292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
96,9.6,3.161292,1.911292,1.570796,3.161292,1.911292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
97,9.7,3.161292,1.961292,1.570796,3.161292,1.961292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
98,9.8,3.161292,2.011292,1.570796,3.161292,2.011292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
99,9.9,3.161292,2.061292,1.570796,3.161292,2.061292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
100,10.0,3.161292,2.111292,1.570796,3.161292,2.111292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
101,10.1,3.161292,2.161292,1.570796,3.161292,2.161292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
102,10.2,3.161292,2.211292,1.570796,3.161292,2.211292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
103,10.3,3.161292,2.261292,1.570796,3.161292,2.261292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
104,10.4,3.161292,2.311292,1.570796,3.161292,2.311292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
105,10.5,3.161292,2.361292,1.570796,3.161292,2.361292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
106,10.6,3.161292,2.411292,1.570796,3.161292,2.411292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
107,10.7,3.161292,2.461292,1.570796,3.161292,2.461292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
108,10.8,3.161292,2.511292,1.570796,3.161292,2.511292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
109,10.9,3.161292,2.561292,1.570796,3.161292,2.561292,1.570796,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
