step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
44,4.4,3.278047,0.677302,1.608865,2.2,0.0,0.0,1.273154,1.608865,0.840326,0.471199,-0.020249,-0.284592,-0.202489,-2.845923
45,4.5,3.274848,0.761273,1.655984,2.25,0.0,0.0,1.276656,1.655984,0.855067,0.28267,0.014741,-0.188529,0.147411,-1.885294
46,4.6,3.267573,0.84647,1.684251,2.3,0.0,0.0,1.285577,1.684251,0.882811,0.153631,0.027744,-0.129038,0.27744,-1.290382
47,4.7,3.257579,0.934184,1.699615,2.35,0.0,0.0,1.302458,1.699615,0.839718,0.062565,-0.043093,-0.091067,-0.430928,-0.910667
48,4.8,3.246791,1.01746,1.705871,2.4,0.0,0.0,1.323737,1.705871,0.845819,-0.001887,0.006101,-0.064452,0.061006,-0.644517
49,4.9,3.235401,1.101271,1.705682,2.45,0.0,0.0,1.352647,1.705682,0.871926,-0.047681,0.026107,-0.045794,0.261067,-0.457943
50,5.0,3.223676,1.187672,1.700914,2.5,0.0,0.0,1.390781,1.700914,0.902722,-0.080198,0.030796,-0.032517,0.307962,-0.32517
51,5.1,3.211963,1.277181,1.692894,2.55,0.0,0.07854,1.438536,1.614354,0.858309,-0.102908,-0.044413,-0.02271,-0.444129,-0.227098
52,5.2,3.201509,1.362373,1.682603,2.599846,0.003923,0.15708,1.485727,1.525524,0.861067,-0.116698,0.002758,-0.013789,0.027582,-0.137894
53,5.3,3.191902,1.447942,1.670934,2.64923,0.011745,0.235619,1.535303,1.435314,0.883207,-0.1236,0.02214,-0.006902,0.2214,-0.069023
54,5.4,3.183072,1.53582,1.658574,2.697849,0.023417,0.314159,1.588334,1.344414,0.837507,-0.125434,-0.0457,-0.001834,-0.456999,-0.018338
55,5.5,3.17573,1.619248,1.64603,2.745402,0.038868,0.392699,1.637921,1.253331,0.842285,-0.122573,0.004778,0.00286,0.047778,0.028603
56,5.6,3.169399,1.703239,1.633773,2.791596,0.058002,0.471239,1.688058,1.162534,0.867573,-0.116426,0.025288,0.006148,0.25288,0.061477
