t,x,y,yaw,v_cmd,w_cmd
1.163905143737793,-3.9996879197566506,3.4999999999586655,2.2376624042815836e-06,0.5,-1.0
1.2539775371551514,-3.9996872887102954,3.4999999998122773,3.676854336795983e-06,0.5,-1.0
1.3539552688598633,-3.996224928417138,3.5000000085668788,6.668020309259628e-06,0.5,-1.0
1.4555773735046387,-3.9823716597868875,3.5000000466207495,6.6501317863903585e-06,0.5,-1.0
1.5521962642669678,-3.958123712339061,3.5000001251041053,6.651771331875231e-06,0.5,-1.0
1.6495568752288818,-3.9234794008832186,3.5000001633322637,5.157956299725675e-06,0.5,-1.0
1.750018835067749,-3.8949768900877926,3.499988584671545,-0.0025124154398876294,0.5,-1.0
1.849639892578125,-3.847527851182128,3.498755643824824,-0.059912331127777066,0.5,-1.0
1.9508039951324463,-3.7967531673223354,3.4930893672311973,-0.16350861618720908,0.5,-1.0
2.048588991165161,-3.746780994574324,3.482260684647793,-0.265067425330092,0.5,-1.0
2.1475322246551514,-3.6981655238557742,3.466396620528594,-0.3665833928603136,0.5,-1.0
2.249588966369629,-3.6513519099293577,3.4456600347297783,-0.4684338449647244,0.5,-1.0
2.3490025997161865,-3.606875576065046,3.420267547391335,-0.5704407832304237,0.5,-0.9698384288272403
2.4492311477661133,-3.5663222286842062,3.3906738800537557,-0.6721631300066683,0.5,-0.9517823163385188
2.5502142906188965,-3.529570466006782,3.357286038843277,-0.7805737218096966,0.5,-0.8093698031953391
2.6505627632141113,-3.4967758444484764,3.320101443543651,-0.8805623134569133,0.5,-0.7149261427772582
2.7508273124694824,-3.4678841708691253,3.279936261286326,-0.9734015179120273,0.5,-0.5470588815892239
2.851184129714966,-3.4441881189749495,3.2371515012611263,-1.0551611960917306,0.5,-0.28626926273004705
2.9505667686462402,-3.4244301784583238,3.192551947523132,-1.1271052507663448,0.5,-0.05618872585613968
3.049290895462036,-3.414278953315069,3.147952274308958,-1.1807478294519034,0.5,0.14373637568254263
3.151280164718628,-3.4063392419556333,3.10259325150625,-1.2094184211882573,0.5,0.258559630625565
3.2492897510528564,-3.4013100281861273,3.0573888496456587,-1.2160130267813878,0.5,0.34204651623542226
3.3497049808502197,-3.3951241038111175,3.0114875862824104,-1.1965624650083575,0.5,0.3404086536909019
3.4530134201049805,-3.387719524679448,2.981116118440623,-1.1795237345031746,0.5,0.3231846405453902
3.5516130924224854,-3.3595872560205082,2.8954545247380707,-1.1091909200921775,0.5,0.19935518465255736
3.648430824279785,-3.3595872560205082,2.8954545247380707,-1.1091909200921775,0.5,0.13892948102747915
3.7509524822235107,-3.3418481545381113,2.8561869772961983,-1.083565818646871,0.5,0.04753018915661489
3.850782871246338,-3.3268801032066087,2.815697372637765,-1.0698528005363797,0.5,-0.016577601836027356
3.9514081478118896,-3.311987159148145,2.775127203634561,-1.0653815633775594,0.5,-0.0755432818237183
4.049384593963623,-3.294117699890873,2.7379856476446074,-1.0674651756010998,0.5,-0.10848479758151898
