step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,err_x,err_y,err_yaw,tracking_error_sq,tracking_deviation,v_cmd,w_cmd,control_effort,solve_time_ms,stage_cost,cumulative_cost
0,0.9633200168609619,-3.999681883743875,3.5000000006012693,5.654337406162194e-06,-3.999681883743875,3.5000000006012693,5.654337406162194e-06,0.0,0.0,0.0,0.0,0.0,0.5,-1.0178240300050491e-05,0.2500000001035966,6.55616499716416,0.06250000003107897,0.06250000003107897
1,1.158400058746338,-3.9881409934638494,3.5000000177278414,5.468121239887501e-06,-3.9881409934638494,3.5000000177278414,5.468121239887501e-06,0.0,0.0,0.0,0.0,0.0,0.5,-1.1857364745169626e-05,0.2500000001405971,1.6848230006871745,0.06250000004246108,0.12500000007354006
2,1.3575780391693115,-3.9361793109391114,3.5000002169075346,6.610499958662276e-06,-3.9361793109391114,3.5000002169075346,6.610499958662276e-06,0.0,0.0,0.0,0.0,0.0,0.5,-1.7164940476280682e-05,0.2500000002946352,0.7916140020824969,0.0625000000912076,0.18750000016474766
3,1.5595896244049072,-3.84447107522326,3.500000707787515,4.529971764964554e-06,-3.84447107522326,3.500000707787515,4.529971764964554e-06,0.0,0.0,0.0,0.0,0.0,0.5,-1.1848788610446092e-05,0.2500000001403938,2.6074390043504536,0.06250000004494428,0.25000000020969193
4,1.7575292587280273,-3.742548544908835,3.500001315625421,2.1700591228104622e-06,-3.742548544908835,3.500001315625421,2.1700591228104622e-06,0.0,0.0,0.0,0.0,0.0,0.5,-5.636475289492498e-06,0.25000000003176986,0.8156160038197413,0.06250000001339025,0.31250000022308216
5,1.9613490104675293,-3.6406548335335183,3.4999957253373015,-1.615839636904588e-05,-3.6406548335335183,3.4999957253373015,-1.615839636904588e-05,0.0,0.0,0.0,0.0,0.0,0.5,8.430524355358026e-05,0.2500000071073741,3.6143359902780503,0.06250000294116351,0.37500000316424564
6,2.158684253692627,-3.5559947433990127,3.4999245511591544,-0.00016887696436007434,-3.5559947433990127,3.4999245511591544,-0.00016887696436007434,0.0,0.0,0.0,0.0,0.0,0.5,0.0009862202582086837,0.2500009726303977,1.9358309946255758,0.06250037313418867,0.4375003762984343
7,2.3580267429351807,-3.4560654358893883,3.498711658665442,-0.0023672257941998653,-3.4560654358893883,3.498711658665442,-0.0023672257941998653,0.0,0.0,0.0,0.0,0.0,0.5,0.014901745416189896,0.2502220620164489,0.9296339994762093,0.06258598278897692,0.5000863590874112
8,2.558253049850464,-3.3555933911350504,3.4970084230896274,-0.0031358326066449845,-3.3555933911350504,3.4970084230896274,-0.0031358326066449845,0.0,0.0,0.0,0.0,0.0,0.5,0.02541308997873979,0.2506458251422675,1.4296810113592073,0.06270479637913152,0.5627911554665427
9,2.757640838623047,-3.2646564305882597,3.496186667958572,-5.0703396381452406e-05,-3.2646564305882597,3.496186667958572,-5.0703396381452406e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.018664332028454772,0.2503483572900684,0.7984809926711023,0.06260906176040766,0.6254002172269504
10,2.9608559608459473,-3.176435057044255,3.4903562486644413,-0.004585111198122935,-3.176435057044255,3.4903562486644413,-0.004585111198122935,0.0,0.0,0.0,0.0,0.0,0.5,0.059161040671631984,0.2535000287333505,3.130212993710302,0.06371400696109819,0.6891142241880486
11,3.1589467525482178,-3.0872848386803966,3.488786763975685,0.0020208062951014376,-3.0872848386803966,3.488786763975685,0.0020208062951014376,0.0,0.0,0.0,0.0,0.0,0.5,0.04405581577591778,0.2519409149036816,2.046964000328444,0.0631050912530195,0.7522193154410681
12,3.3575971126556396,-3.0018354311581814,3.5008496472427426,0.026453865359532317,-3.0018354311581814,3.5008496472427426,0.026453865359532317,0.0,0.0,0.0,0.0,0.0,0.5,-0.07137096648425442,0.2550938148568966,0.7926910038804635,0.0653604786633627,0.8175797941044308
13,3.5575757026672363,-2.9162599151325983,3.50224288944658,0.015973699683365365,-2.9162599151325983,3.50224288944658,0.015973699683365365,0.0,0.0,0.0,0.0,0.0,0.5,-0.04648618854087001,0.2521609657250573,0.7647879974683747,0.06321021493484635,0.8807900090392772
14,3.7584240436553955,-2.84565488172648,3.5037894127625155,0.0045340631127531025,-2.84565488172648,3.5037894127625155,0.0045340631127531025,0.0,0.0,0.0,0.0,0.0,0.5,-0.02194609809918832,0.2504816312217792,1.6509420092916116,0.06270471097042235,0.9434947200096995
15,3.9575579166412354,-2.752792259894956,3.505968788731853,-0.0010283842113092713,-2.752792259894956,3.505968788731853,-0.0010283842113092713,0.0,0.0,0.0,0.0,0.0,0.5,-0.012928049594240746,0.25016713446631117,0.8048899908317253,0.0625582728597771,1.0060529928694766
16,4.157624959945679,-2.6466502031503674,3.508929893666583,-0.0028887112229945694,-2.6466502031503674,3.508929893666583,-0.0028887112229945694,0.0,0.0,0.0,0.0,0.0,0.5,-0.011951247075142944,0.25014283230665113,0.8717879973119125,0.06254294510631146,1.0685959379757881
17,4.359015464782715,-2.5581219316268236,3.51292706178725,-0.004309630952775142,-2.5581219316268236,3.51292706178725,-0.004309630952775142,0.0,0.0,0.0,0.0,0.0,0.5,-0.010125308493832575,0.25010252187209525,1.7777719913283363,0.06253108996679886,1.131127027942587
18,4.558046102523804,-2.463038555181989,3.5166952551499286,-0.004051785414493641,-2.463038555181989,3.5166952551499286,-0.004051785414493641,0.0,0.0,0.0,0.0,0.0,0.5,-0.005673075633594387,0.2500321837871445,1.1019399971701205,0.06251163737388753,1.1936386653164743
19,4.758083820343018,-2.36748057947416,3.5127449554804397,-0.010101609129886406,-2.36748057947416,3.5127449554804397,-0.010101609129886406,0.0,0.0,0.0,0.0,0.0,0.5,0.020196816305335086,0.2504079113888715,1.0242709977319464,0.06268929854755463,1.256327963864029
20,4.957698345184326,-2.269804805859841,3.516343878170754,-0.00512101897682867,-2.269804805859841,3.516343878170754,-0.00512101897682867,0.0,0.0,0.0,0.0,0.0,0.5,0.010239537646072393,0.2501048481312053,0.9087360085686669,0.06254136917919143,1.3188693330432204
21,5.1581244468688965,-2.1687819724577855,3.5142648687726807,-0.0038743164135433008,-2.1687819724577855,3.5142648687726807,-0.0038743164135433008,0.0,0.0,0.0,0.0,0.0,0.5,0.007746732593397576,0.2500600118658736,1.2888610071968287,0.06251862496746514,1.3813879580106856
22,5.357498407363892,-2.0901793593177636,3.518275904530306,0.0010425495302286579,-2.0901793593177636,3.518275904530306,0.0010425495302286579,0.0,0.0,0.0,0.0,0.0,0.5,-0.0020865432210060634,0.25000435366261314,0.7504249952035025,0.06251097543010814,1.4438989334407937
23,5.557556867599487,-1.9923254518659244,3.524235063011388,0.0042134692907292775,-1.9923254518659244,3.524235063011388,0.0042134692907292775,0.0,0.0,0.0,0.0,0.0,0.5,-0.008428036128841373,0.25007103179298906,0.8054110076045617,0.06252533099112673,1.5064242644319203
24,5.761199712753296,-1.8934591832579306,3.532978006126434,0.008527131178925444,-1.8934591832579306,3.532978006126434,0.008527131178925444,0.0,0.0,0.0,0.0,0.0,0.5,-0.017055096471084073,0.250290876315638,2.12108000414446,0.06259470551170626,1.5690189699436266
25,5.957512855529785,-1.7888234639043215,3.539382137696742,0.005595995958547,-1.7888234639043215,3.539382137696742,0.005595995958547,0.0,0.0,0.0,0.0,0.0,0.5,-0.011192625846935287,0.25012527487334946,0.7615729991812259,0.06254101931818674,1.6315599892618133
26,6.157751083374023,-1.6845206343868924,3.5383583450332843,0.0010503966577914753,-1.6845206343868924,3.5383583450332843,0.0010503966577914753,0.0,0.0,0.0,0.0,0.0,0.309138481944081,-0.0021012751159615937,0.09557101637580386,0.9471239900449291,0.025722646081348464,1.6572826353431618
27,6.358282566070557,-1.5892242953319937,3.540486928852911,-0.0002849960067861418,-1.5892242953319937,3.540486928852911,-0.0002849960067861418,0.0,0.0,0.0,0.0,0.0,0.01798211471584334,0.0005696258406506036,0.0003236809232520865,1.5017769910627976,0.004320251334562162,1.661602886677724
28,6.557534217834473,-1.5493754397303123,3.542124489460217,0.002039515950977527,-1.5493754397303123,3.542124489460217,0.002039515950977527,0.0,0.0,0.0,0.0,0.0,-0.10376706119498877,-0.004079310183724787,0.010784243760619584,0.7937509944895282,0.0034401973310978586,1.6650430840088217
29,6.7589333057403564,-1.5372988428605705,3.5441953420776544,0.0016663174694260814,-1.5372988428605705,3.5441953420776544,0.0016663174694260814,0.0,0.0,0.0,0.0,0.0,-0.14066440062811003,-0.003332846432499738,0.01979758146940807,2.0621629955712706,0.005018077164294485,1.6700611611731162
30,6.957603931427002,-1.5647424911264816,3.5444630642919717,0.0016291271326805271,-1.5647424911264816,3.5444630642919717,0.0016291271326805271,0.0,0.0,0.0,0.0,0.0,-0.056816611670967326,-0.0032584149989816156,0.003238744630075089,0.8507590100634843,0.0011617401605879584,1.671222901333704
31,7.157777786254883,-1.5810944404496265,3.5438566244280385,0.002413107045709326,-1.5810944404496265,3.5438566244280385,0.002413107045709326,0.0,0.0,0.0,0.0,0.0,-0.006856980022247456,-0.004826336243944228,7.03116965651104e-05,1.0201589902862906,0.0001437866776450872,1.6713666880113491
32,7.357519626617432,-1.5819790851476951,3.549738371822925,0.014146636459667662,-1.5819790851476951,3.549738371822925,0.014146636459667662,0.0,0.0,0.0,0.0,0.0,-0.004154162625218129,-0.028293365702586087,0.0008177716098970339,0.8133459923556075,0.0002999040378686329,1.6716665920492177
33,7.55870246887207,-1.5830889648244288,3.547078445847444,0.0032518248648238826,-1.5830889648244288,3.547078445847444,0.0032518248648238826,0.0,0.0,0.0,0.0,0.0,-0.0007632010118879676,-0.006503720276998699,4.288085322599086e-05,1.916941997478716,6.0888927989005996e-05,1.6717274809772067
34,7.7579851150512695,-1.5866935152533883,3.5477272785590346,-0.004694820626274214,-1.5866935152533883,3.5477272785590346,-0.004694820626274214,0.0,0.0,0.0,0.0,0.0,0.010249669642780138,0.009389587605907562,0.0001932200831951416,1.157634993433021,8.403712811814356e-05,1.6718115181053248
35,7.959078550338745,-1.5880508873199473,3.5472602606812607,-0.006871427382224224,-1.5880508873199473,3.5472602606812607,-0.006871427382224224,0.0,0.0,0.0,0.0,0.0,0.014396799978520752,0.013742813978870928,0.00039613278567938537,2.1345780114643276,0.00011123143570924624,1.671922749541034
36,8.158746004104614,-1.5915058360580587,3.5473784078327255,-0.0014065046170323894,-1.5915058360580587,3.5473784078327255,-0.0014065046170323894,0.0,0.0,0.0,0.0,0.0,0.024952602169980093,0.0028129782533482376,0.0006305452017071054,1.8928530043922365,0.00017554932165341893,1.6720982988626873
37,8.35846471786499,-1.5720184624689124,3.544807425123597,-0.0003531661042789032,-1.5720184624689124,3.544807425123597,-0.0003531661042789032,0.0,0.0,0.0,0.0,0.0,-0.03458664540322906,0.0007063086662750431,0.0011967349121807611,1.7222500027855858,0.00047689857739589755,1.6725751974400833
38,8.557770013809204,-1.5759525106279928,3.542693625892949,0.0007438551870263966,-1.5759525106279928,3.542693625892949,0.0007438551870263966,0.0,0.0,0.0,0.0,0.0,-0.0225670608083479,-0.0014877282618576458,0.0005114855689088017,1.0258980037178844,0.00013568695949213317,1.6727108843995755
39,8.759004592895508,-1.5788976654218647,3.5471641410127277,-0.0015580244457931698,-1.5788976654218647,3.5471641410127277,-0.0015580244457931698,0.0,0.0,0.0,0.0,0.0,-0.013568812047991537,0.003116035287771795,0.00019382233630835935,2.0250739908078685,5.51089557925742e-05,1.672765993355368
40,8.957497835159302,-1.5789400173637245,3.5474174753996865,-0.0068596023015884,-1.5789400173637245,3.5474174753996865,-0.0068596023015884,0.0,0.0,0.0,0.0,0.0,-0.013439418053495059,0.013719194240000223,0.00036883424821146425,0.7949800055939704,0.0001128629116995216,1.6728788562670676
41,9.1575345993042,-1.5861238858018265,3.54729616641345,-0.0012222469482141842,-1.5861238858018265,3.54729616641345,-0.0012222469482141842,0.0,0.0,0.0,0.0,0.0,0.008509256769275768,0.0024444860374862798,7.838296275293085e-05,0.7884340011514723,5.66936371165762e-05,1.672935549904184
42,9.357638120651245,-1.5753465411603778,3.544998630435647,-0.0023794922876324673,-1.5753465411603778,3.544998630435647,-0.0023794922876324673,0.0,0.0,0.0,0.0,0.0,-0.024418471724096603,0.00475897859626393,0.0006189096386202035,0.879953004186973,0.00021060725628616186,1.6731461571604702
43,9.557516813278198,-1.5770418135892468,3.5445493954358214,-0.0032257307038725982,-1.5770418135892468,3.5445493954358214,-0.0032257307038725982,0.0,0.0,0.0,0.0,0.0,-0.019238953391793014,0.006451456857641723,0.00041175862319759636,0.770867001847364,0.0001066485393529568,1.6732528056998233
44,9.757615327835083,-1.571703980399596,3.5434335908113104,-0.002322683550960949,-1.571703980399596,3.5434335908113104,-0.002322683550960949,0.0,0.0,0.0,0.0,0.0,-0.03554749024688993,0.004645363644394519,0.0012852034662413972,0.8539859991287813,0.00033600445271697886,1.6735888101525402
45,9.957834005355835,-1.576032224960655,3.5457536620888126,0.007206977354818708,-1.576032224960655,3.5457536620888126,0.007206977354818708,0.0,0.0,0.0,0.0,0.0,-0.022323523432386656,-0.014413957298978685,0.000706101863453097,0.8896900108084083,0.00023198301051191792,1.6738207931630522
46,10.158774852752686,-1.575607084099907,3.5473484535822273,0.005231225552613821,-1.575607084099907,3.5473484535822273,0.005231225552613821,0.0,0.0,0.0,0.0,0.0,-0.02362244515180961,-0.010462453074179626,0.000667482839279664,1.9332350057084113,0.00017398965448190646,1.673994782817534
47,10.358670234680176,-1.5807777855549416,3.548368623612858,0.00540142194532731,-1.5807777855549416,3.548368623612858,0.00540142194532731,0.0,0.0,0.0,0.0,0.0,-0.007824542647388731,-0.010802845380959599,0.0001779249359657252,1.9018440070794895,6.280658027688818e-05,1.674057589397811
48,10.557527303695679,-1.5775871047776315,3.549981985162285,0.0063798393802353545,-1.5775871047776315,3.549981985162285,0.0063798393802353545,0.0,0.0,0.0,0.0,0.0,-0.017572942737245204,-0.01275967988337199,0.00047161774717262674,0.7701239956077188,0.00013117939367204192,1.674188768791483
49,10.758527517318726,-1.564805374092532,3.5505245604967577,0.006243371150913615,-1.564805374092532,3.5505245604967577,0.006243371150913615,0.0,0.0,0.0,0.0,0.0,-0.0566246155281032,-0.012486743149266266,0.0033622658381812546,1.7021520034177229,0.0009246215041033955,1.6751133902955864
50,10.95754623413086,-1.6037386641506417,3.554506637993518,-0.006241098890300552,-1.6037386641506417,3.554506637993518,-0.006241098890300552,0.0,0.0,0.0,0.0,0.0,0.062327201738149776,0.012482197089553483,0.004040485320690478,0.788460994954221,0.0017877331315939197,1.6769011234271802
