step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,err_x,err_y,err_yaw,tracking_error_sq,tracking_deviation,v_cmd,w_cmd,control_effort,solve_time_ms,stage_cost,cumulative_cost
0,0.9915084838867188,-3.999688040767893,3.5000000040598582,1.75561840385746e-05,-3.799688040798715,3.5000035152966658,-0.23998244381596143,-0.19999999996917817,-3.5112368075296274e-06,0.23999999999999996,0.09760000000000003,0.20000000000000012,0.5,-1.0,1.25,10.077138998894952,0.7177000000000002,0.7177000000000002
1,1.1838352680206299,-3.9881444635691135,3.5000001489980073,1.6509504555675524e-05,-3.605419611228036,3.452466400616215,-0.47998244381596145,-0.38272485234107734,0.04753374838179214,0.4799989533205171,0.37913676502351495,0.38566535991027634,0.5,-1.0,1.25,1.2979040038771927,1.7157246093859218,2.4334246093859218
2,1.3821239471435547,-3.9361819034741665,3.50000082906733,1.6208775387737e-05,-3.4280190052834802,3.3601136799713727,-0.7199824438159614,-0.5081628981906863,0.13988714909595723,0.7199986525913492,0.7961960053131107,0.5270654092043533,0.5,-1.0,1.25,0.7622270059073344,3.066083792945231,5.499508402331153
3,1.5824909210205078,-3.8639297004388418,3.4995184209797703,-0.033711492954883224,-3.2776555442227426,3.2282393853653497,-0.9231016535180107,-0.5862741562160991,0.27127903561442057,0.8893901605631275,1.2083245591172949,0.6459951249125562,0.5,-1.0,1.25,1.1211739911232144,4.448387923877745,9.947896326208898
4,1.7827563285827637,-3.7467811876849906,3.482263666782612,-0.265055623083008,-3.156985631029415,3.0687440185050088,-1.0580897932770894,-0.5897955566555755,0.4135196482776031,0.7930341701940814,1.147760493257708,0.7203174981647279,0.5,-1.0,1.25,1.3221859990153462,4.733450179164587,14.681346505373485
5,1.9821224212646484,-3.6667776829012713,3.453106351903553,-0.4344362163871052,-3.0588781173825392,2.8944600095827093,-1.1479852990176862,-0.607899565518732,0.5586463423208436,0.713549082630581,1.190779910869264,0.8256074233837293,0.5,-1.0,1.25,0.7902990037109703,5.470570291923811,20.151916797297297
6,2.182213544845581,-3.5796240004802655,3.4007721966162494,-0.6387472135806944,-2.976813005978921,2.712072187921526,-1.2079445334671066,-0.6028109945013447,0.6887000086947235,0.5691973198864122,1.1616743860336871,0.9152534059307359,0.5,-1.0,1.25,0.8697529992787167,6.036603960338623,26.18852075763592
7,2.3834853172302246,-3.5080679618087043,3.332053629198923,-0.8529148687563695,-2.9058246496787454,2.5250945067138497,-1.247990976992131,-0.6022433121299589,0.8069591224850732,0.39507610823576145,1.1699651636658575,1.0069160999642137,0.5,-0.5042082616580031,0.5042259711241854,1.9145680125802755,6.558799192918358,32.74731995055428
8,2.5854082107543945,-3.456447631673941,3.2521720198626958,-1.00036429511591,-2.8423789983388468,2.3354246637602163,-1.2747727216576,-0.6140686333350942,0.9167473561024795,0.27440842654169,1.2928059859240029,1.10340654401128,0.5,-0.04574747097370363,0.25209283110048986,3.4132760047214106,7.539782456305307,40.28710240685959
9,2.7829043865203857,-3.4195565125852485,3.166608856780365,-1.0536517588247478,-2.784035181293446,2.1441238560970683,-1.2927071775523817,-0.6355213312918027,1.0224850006832966,0.23905541872763392,1.506510432372271,1.2038949036976718,0.5,0.1332705877502724,0.2677610495593031,1.5846070018596947,8.881505682744168,49.16860808960376
