step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,err_x,err_y,err_yaw,tracking_error_sq,tracking_deviation,v_cmd,w_cmd,control_effort,solve_time_ms,stage_cost,cumulative_cost
0,1.1914002895355225,-3.9996900805209656,3.5000000179149655,4.9126054261774826e-05,-3.9996900805209656,3.5000000179149655,4.9126054261774826e-05,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,4.262642003595829,0.3625,0.3625
1,1.3878288269042969,-3.988146647351807,3.500000587232617,5.315078565398569e-05,-3.988146647351807,3.500000587232617,5.315078565398569e-05,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,0.7452510035363957,0.3625,0.725
2,1.591399908065796,-3.936184146860095,3.5000031053419187,5.181207595974142e-05,-3.936184146860095,3.5000031053419187,5.181207595974142e-05,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,2.1988410007907078,0.3625,1.0875
3,1.7943596839904785,-3.847531850766771,3.49876230320041,-0.0598685096271943,-3.847531850766771,3.49876230320041,-0.0598685096271943,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,6.089753995183855,0.3625,1.45
4,1.9891870021820068,-3.746783818162115,3.482271829792758,-0.2650229386555654,-3.746783818162115,3.482271829792758,-0.2650229386555654,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,1.9894069992005825,0.3625,1.8125
5,2.1896543502807617,-3.6514146608996616,3.4456784368392714,-0.4683807955587949,-3.6514146608996616,3.4456784368392714,-0.4683807955587949,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,2.41948600159958,0.3625,2.175
6,2.38789439201355,-3.5790765362911845,3.4008827104172994,-0.6384500786149863,-3.5790765362911845,3.4008827104172994,-0.6384500786149863,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,0.7471680000890046,0.3625,2.5374999999999996
7,2.5885369777679443,-3.506422962953187,3.3318478234107385,-0.8533367615289854,-3.506422962953187,3.3318478234107385,-0.8533367615289854,0.0,0.0,0.0,0.0,0.0,0.5,-0.5071888759842755,0.5072405559221929,1.361962000373751,0.16395844717202201,2.7014584471720218
8,2.790435552597046,-3.4529385998996163,3.251028514445963,-1.0169906892437965,-3.4529385998996163,3.251028514445963,-1.0169906892437965,0.0,0.0,0.0,0.0,0.0,0.5,0.000584992641321086,0.2500003422163904,2.2451169934356585,0.08828353283081758,2.789741980002839
9,2.987917184829712,-3.4235627072139105,3.167829915016989,-1.0808873855388506,-3.4235627072139105,3.167829915016989,-1.0808873855388506,0.0,0.0,0.0,0.0,0.0,0.5,0.23447027925611383,0.30497631185444,0.7601629913551733,0.08446312628582038,2.8742051062886596
10,3.1902952194213867,-3.3909416183129886,3.0827464387255734,-1.0499896434431484,-3.3909416183129886,3.0827464387255734,-1.0499896434431484,0.0,0.0,0.0,0.0,0.0,0.5,0.134109069954502,0.26798524264406154,2.1321490057744086,0.06890281002646664,2.9431079163151264
11,3.388437032699585,-3.353664483332449,3.014451794036198,-1.0200001032246149,-3.353664483332449,3.014451794036198,-1.0200001032246149,0.0,0.0,0.0,0.0,0.0,0.5,0.0010757189261551212,0.2500011571712081,1.3701730058528483,0.06427013439994556,3.007378050715072
12,3.5878818035125732,-3.3173431338189086,2.9296059749654138,-1.013095206072988,-3.3173431338189086,2.9296059749654138,-1.013095206072988,0.0,0.0,0.0,0.0,0.0,0.5,-0.046101009569381735,0.2521253030833162,0.7967380079207942,0.06336015529614902,3.070738206011221
13,3.7905032634735107,-3.280436845968638,2.850688632176892,-1.0199895961856023,-3.280436845968638,2.850688632176892,-1.0199895961856023,0.0,0.0,0.0,0.0,0.0,0.5,-0.058949253212568914,0.2534750144543196,1.3864509965060279,0.06355901207276733,3.1342972180839883
14,3.988393783569336,-3.2381976489022524,2.7698089366695697,-1.0302499973806705,-3.2381976489022524,2.7698089366695697,-1.0302499973806705,0.0,0.0,0.0,0.0,0.0,0.5,-0.07874502868211275,0.25620077954214676,0.8626110065961257,0.06439942113528808,3.1986966392192766
15,4.18794846534729,-3.1968422039025306,2.679947588137075,-1.049888819600646,-3.1968422039025306,2.679947588137075,-1.049888819600646,0.0,0.0,0.0,0.0,0.0,0.5,-0.06121179677615576,0.2537468840645654,0.8562470029573888,0.06365480664147642,3.262351445860753
16,4.388545989990234,-3.165354762332184,2.6105084660311833,-1.065161004871865,-3.165354762332184,2.6105084660311833,-1.065161004871865,0.0,0.0,0.0,0.0,0.0,0.5,-0.046563496089070684,0.2521681591680369,1.4266780053731054,0.06317190502171299,3.3255233508824658
17,4.589354991912842,-3.122820215095844,2.5217435662678636,-1.0788945728963144,-3.122820215095844,2.5217435662678636,-1.0788945728963144,0.0,0.0,0.0,0.0,0.0,0.5,-0.0569265983206721,0.25324063759636317,1.9795190019067377,0.06348293066769521,3.389006281550161
18,4.7893126010894775,-3.086185293111953,2.4406372003052845,-1.0884375490809004,-3.086185293111953,2.4406372003052845,-1.0884375490809004,0.0,0.0,0.0,0.0,0.0,0.5,-0.07077542223776442,0.25500916039293386,2.052076000836678,0.06402192711026881,3.45302820866043
19,4.990689277648926,-3.0489690631670863,2.3568863863156726,-1.1004280708575835,-3.0489690631670863,2.3568863863156726,-1.1004280708575835,0.0,0.0,0.0,0.0,0.0,0.5,-0.07716354567713743,0.2559542127814677,2.5081009953282773,0.06429034464654797,3.517318553306978
20,5.19327712059021,-2.999295431632812,2.2693680470462736,-1.1045936786000359,-2.999295431632812,2.2693680470462736,-1.1045936786000359,0.0,0.0,0.0,0.0,0.0,0.5,-0.1440166923454669,0.2707408076741289,5.027197999879718,0.06916917662418437,3.586487729931162
21,5.3888702392578125,-2.956993403039285,2.1831661874584882,-1.1238544833888438,-2.956993403039285,2.1831661874584882,-1.1238544833888438,0.0,0.0,0.0,0.0,0.0,0.5,-0.14047558786234862,0.2697333907852724,1.7133310029748827,0.06842127117767777,3.65490900110884
22,5.5878870487213135,-2.907147637196398,2.089659570457668,-1.1443943800735734,-2.907147637196398,2.089659570457668,-1.1443943800735734,0.0,0.0,0.0,0.0,0.0,0.5,-0.14985193964924526,0.272455603816641,0.7787279901094735,0.06924547274227548,3.7241544738511156
23,5.788208246231079,-2.87195809754985,2.0084552094248176,-1.174325970551191,-2.87195809754985,2.0084552094248176,-1.174325970551191,0.0,0.0,0.0,0.0,0.0,0.5,-0.09416704321206588,0.25886743202730306,1.0213500063400716,0.06547031037731287,3.7896247842284283
24,5.98793888092041,-2.8386097464425966,1.9163241603713936,-1.204631426684895,-2.8386097464425966,1.9163241603713936,-1.204631426684895,0.0,0.0,0.0,0.0,0.0,0.5,-0.024140191968926167,0.2505827488682966,0.816879008198157,0.06316520064999187,3.85278998487842
25,6.187883615493774,-2.801370520154298,1.8313069430714124,-1.2052433525482373,-2.801370520154298,1.8313069430714124,-1.2052433525482373,0.0,0.0,0.0,0.0,0.0,0.5,-0.06959006607443541,0.25484277729624427,0.7810319948475808,0.06415940229449396,3.916949387172914
26,6.38786768913269,-2.7681493858594926,1.7381631171063305,-1.2174659415340086,-2.7681493858594926,1.7381631171063305,-1.2174659415340086,0.0,0.0,0.0,0.0,0.0,0.5,-0.05885272074664338,0.2534636427392824,0.8122610015561804,0.06355062188025354,3.9805000090531677
27,6.589123010635376,-2.7447527231647575,1.635014057479873,-1.2449525951581324,-2.7447527231647575,1.635014057479873,-1.2449525951581324,0.0,0.0,0.0,0.0,0.0,0.5,0.03867852904515851,0.25149602860909714,1.922666997415945,0.06390004305132424,4.044400052104492
28,6.788155794143677,-2.7188999173851656,1.5418868044806222,-1.244823907664401,-2.7188999173851656,1.5418868044806222,-1.244823907664401,0.0,0.0,0.0,0.0,0.0,0.5,0.02991132987507619,0.25089468765489564,0.9363560093333945,0.06277609267459747,4.107176144779089
29,6.987886667251587,-2.6864013912086806,1.44513761413006,-1.242249738490182,-2.6864013912086806,1.44513761413006,-1.242249738490182,0.0,0.0,0.0,0.0,0.0,0.5,-0.003777528167298623,0.2500142697190547,0.7930170104373246,0.06261777483133635,4.1697939196104254
30,7.187959909439087,-2.6545292815439665,1.3664146063128706,-1.2340260321829923,-2.6545292815439665,1.3664146063128706,-1.2340260321829923,0.0,0.0,0.0,0.0,0.0,0.5,-0.06745933036839895,0.2545507612537528,0.8683060004841536,0.06427076556928384,4.2340646851797095
31,7.389500856399536,-2.6120008399777017,1.2664176159719571,-1.239177223428034,-2.6120008399777017,1.2664176159719571,-1.239177223428034,0.0,0.0,0.0,0.0,0.0,0.5,-0.10262244764898257,0.26053136676146815,1.2240009964443743,0.06578305451012925,4.299847739689839
32,7.587860584259033,-2.5780828128575424,1.1764814774745551,-1.2600515453802232,-2.5780828128575424,1.1764814774745551,-1.2600515453802232,0.0,0.0,0.0,0.0,0.0,0.5,-0.06641239289944516,0.25441060593063025,0.7423259958159178,0.06395429858568553,4.363802038275525
33,7.792325735092163,-2.5448517581941945,1.0798170714215753,-1.2671727055017838,-2.5448517581941945,1.0798170714215753,-1.2671727055017838,0.0,0.0,0.0,0.0,0.0,0.5,-0.06917002427592557,0.2547844922583321,5.160795000847429,0.0639361081305805,4.427738146406106
