controller,rmse_pos_m,max_pos_err_m,total_var_v,total_var_w,max_dv,max_dw,rms_dw
baseline_lqr (λ=0),0.0,0.0,0.0,1.570796,0.0,1.570796,0.124572
smoothed_lam0.1,0.574538,0.960722,1.679985,3.77487,0.0525,0.07,0.037119
smoothed_lam1.0,0.574538,0.960722,1.679985,3.77487,0.0525,0.07,0.037119
smoothed_lam10.0,0.574538,0.960722,1.679985,3.77487,0.0525,0.07,0.037119
