step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
42,4.2,-0.503612,0.381686,4.99512,-0.039877,1.01493,3.298672,0.784887,1.696448,0.713543,1.2,0.01881,0.0,0.188098,0.0
43,4.3,-0.483705,0.313164,5.11512,-0.079384,1.008672,3.377212,0.804492,1.737908,0.680693,1.2,-0.03285,0.0,-0.328503,0.0
44,4.4,-0.457027,0.250541,5.23512,-0.118279,0.999334,3.455752,0.821853,1.779368,0.685994,1.2,0.005301,0.0,0.05301,0.0
45,4.5,-0.422779,0.191102,5.35512,-0.156321,0.986974,3.534292,0.839292,1.820829,0.652411,1.2,-0.033583,0.0,-0.335829,0.0
46,4.6,-0.383674,0.138879,5.47512,-0.193276,0.971666,3.612832,0.854275,1.862289,0.66258,1.2,0.010168,0.0,0.101685,0.0
47,4.7,-0.337896,0.090978,5.59512,-0.228917,0.953507,3.691371,0.869386,1.903749,0.635824,1.2,-0.026756,0.0,-0.26756,0.0
48,4.8,-0.288781,0.0506,5.71512,-0.263022,0.932607,3.769911,0.882382,1.945209,0.654732,1.2,0.018909,0.0,0.189086,0.0
49,4.9,-0.23359,0.015376,5.83512,-0.295383,0.909095,3.848451,0.895853,1.986669,0.635954,1.2,-0.018778,0.0,-0.187779,0.0
50,5.0,-0.176273,-0.012175,5.95512,-0.325799,0.883118,3.926991,0.907693,2.02813,0.668352,1.2,0.032398,0.0,0.323982,0.0
51,5.1,-0.113002,-0.03371,6.07512,-0.354084,0.854833,4.005531,0.920668,2.06959,0.656216,1.2,-0.012136,0.0,-0.121361,0.0
52,5.2,-0.048796,-0.047266,6.19512,-0.380061,0.824417,4.08407,0.932506,2.11105,0.692039,1.2,0.035823,0.0,0.35823,0.0
53,5.3,0.02014,-0.053352,6.31512,-0.403573,0.792056,4.16261,0.945647,2.15251,0.698613,-0.277803,0.006574,-1.477803,0.065737,-14.778026
54,5.4,0.089966,-0.051122,6.28734,-0.424473,0.757951,4.24115,0.958773,2.04619,0.659561,-1.042362,-0.039052,-0.76456,-0.390521,-7.645596
55,5.5,0.155921,-0.050848,6.183104,-0.442632,0.72231,4.31969,0.977773,1.863414,0.653563,-1.2,-0.005998,-0.157638,-0.059975,-1.576378
56,5.6,0.220951,-0.057378,6.063104,-0.45794,0.685355,4.39823,1.006253,1.664874,0.657922,-1.2,0.004359,0.0,0.04359,0.0
57,5.7,0.285156,-0.071741,5.943104,-0.4703,0.647313,4.47677,1.042954,1.466334,0.61771,-1.2,-0.040212,0.0,-0.402119,0.0
58,5.8,0.343389,-0.092345,5.823104,-0.479638,0.608418,4.555309,1.080946,1.267795,0.619406,-1.2,0.001695,0.0,0.016952,0.0
59,5.9,0.398889,-0.119848,5.703104,-0.485896,0.568911,4.633849,1.121264,1.069255,0.58916,-1.2,-0.030246,0.0,-0.302457,0.0
60,6.0,0.448167,-0.152139,5.583104,-0.489034,0.529034,4.712389,1.158596,0.870715,0.608709,-1.2,0.019549,0.0,0.195488,0.0
61,6.1,0.494721,-0.191357,5.463104,-0.489034,0.489034,4.790929,1.196121,0.672175,0.592041,-1.2,-0.016668,0.0,-0.166675,0.0
62,6.2,0.535108,-0.234648,5.343104,-0.485896,0.449157,4.869469,1.228835,0.473635,0.565189,-1.2,-0.026853,0.0,-0.268527,0.0
63,6.3,0.568438,-0.280293,5.223104,-0.479638,0.40965,4.948008,1.254785,0.275095,0.540531,-1.2,-0.024658,0.0,-0.246579,0.0
64,6.4,0.594859,-0.327448,5.103104,-0.4703,0.370755,5.026548,1.273598,0.076556,0.584499,-1.2,0.043969,0.0,0.439685,0.0
65,6.5,0.61712,-0.381493,4.983104,-0.45794,0.332713,5.105088,1.290675,-0.121984,0.589226,-1.2,0.004727,0.0,0.047271,0.0
66,6.6,0.632877,-0.43827,4.863104,-0.442632,0.295758,5.183628,1.30212,-0.320524,0.578565,-1.2,-0.010661,0.0,-0.106615,0.0
67,6.7,0.641564,-0.49547,4.743104,-0.424473,0.260117,5.262168,1.306655,-0.519064,0.564826,-1.2,-0.013739,0.0,-0.137388,0.0
68,6.8,0.643298,-0.551926,4.623104,-0.403573,0.226012,5.340708,1.304273,-0.717604,0.553497,-1.2,-0.011329,0.0,-0.113292,0.0
69,6.9,0.638363,-0.607056,4.503104,-0.380061,0.193651,5.419247,1.2955,-0.916143,0.611388,-1.2,0.057891,0.0,0.578905,0.0
70,7.0,0.625661,-0.66686,4.383104,-0.354084,0.163235,5.497787,1.284117,-1.114683,0.623535,-1.2,0.012148,0.0,0.121479,0.0
71,7.1,0.605498,-0.725864,4.263104,-0.325799,0.13495,5.576327,1.268194,-1.313223,0.615929,-1.2,-0.007606,0.0,-0.076063,0.0
72,7.2,0.578747,-0.781344,4.143104,-0.295383,0.108973,5.654867,1.247704,-1.511763,0.602357,-1.2,-0.013572,0.0,-0.135718,0.0
73,7.3,0.546278,-0.83208,4.023104,-0.263022,0.085461,5.733407,1.223457,-1.710303,0.653265,-1.2,0.050907,0.0,0.509073,0.0
74,7.4,0.504731,-0.882492,3.903104,-0.228917,0.064561,5.811946,1.197977,-1.908843,0.657678,-1.2,0.004413,0.0,0.044132,0.0
75,7.5,0.457129,-0.927873,3.783104,-0.193276,0.046402,5.890486,1.171426,-2.107382,0.64291,-1.2,-0.014768,0.0,-0.147675,0.0
