step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
40,4.0,0.234637,0.971884,2.744089,0.04,1.018068,3.141593,0.200042,-0.397504,0.398822,0.789592,0.001169,0.00183,0.011693,0.018298
41,4.1,0.197864,0.987323,2.823048,0.0,1.018068,3.220132,0.200239,-0.397084,0.399818,0.790906,0.000996,0.001314,0.009958,0.013137
42,4.2,0.159894,0.999844,2.902139,-0.039877,1.01493,3.298672,0.20034,-0.396533,0.400616,0.791747,0.000798,0.00084,0.007976,0.008403
43,4.3,0.120976,1.009346,2.981313,-0.079384,1.008672,3.377212,0.200361,-0.395899,0.401214,0.792167,0.000599,0.00042,0.005987,0.004202
44,4.4,0.081368,1.015749,3.06053,-0.118279,0.999334,3.455752,0.200321,-0.395222,0.40163,0.792227,0.000416,6e-05,0.004156,0.0006
45,4.5,0.041337,1.019001,3.139753,-0.156321,0.986974,3.534292,0.200236,-0.394539,0.401888,0.791989,0.000258,-0.000237,0.002577,-0.002374
46,4.6,0.001149,1.019075,3.218952,-0.193276,0.971666,3.612832,0.200122,-0.39388,0.402016,0.791517,0.000129,-0.000472,0.001288,-0.004721
47,4.7,-0.038933,1.015968,3.298103,-0.228917,0.953507,3.691371,0.199988,-0.393268,0.402045,0.790871,2.9e-05,-0.000646,0.000288,-0.006463
48,4.8,-0.078646,1.009701,3.377191,-0.263022,0.932607,3.769911,0.199845,-0.392721,0.402,0.790107,-4.5e-05,-0.000764,-0.000453,-0.007641
49,4.9,-0.117735,1.000318,3.456201,-0.295383,0.909095,3.848451,0.1997,-0.39225,0.401902,0.789276,-9.8e-05,-0.000831,-0.000976,-0.008311
50,5.0,-0.155953,0.987881,3.535129,-0.325799,0.883118,3.926991,0.199557,-0.391862,0.40177,0.788422,-0.000133,-0.000854,-0.001326,-0.008536
51,5.1,-0.193059,0.972475,3.613971,-0.354084,0.854833,4.005531,0.19942,-0.39156,0.401615,0.787584,-0.000155,-0.000838,-0.001548,-0.008385
52,5.2,-0.228822,0.954201,3.692729,-0.380061,0.824417,4.08407,0.199292,-0.391341,0.401447,0.786791,-0.000167,-0.000793,-0.001675,-0.007927
53,5.3,-0.263023,0.933179,3.771408,-0.403573,0.792056,4.16261,0.199173,-0.391202,0.401274,0.786068,-0.000174,-0.000723,-0.001736,-0.007232
54,5.4,-0.295451,0.909544,3.850015,-0.424473,0.757951,4.24115,0.199066,-0.391135,0.401099,0.785431,-0.000175,-0.000637,-0.001749,-0.006368
55,5.5,-0.32591,0.883447,3.928558,-0.442632,0.72231,4.31969,0.19897,-0.391132,0.400926,0.784891,-0.000173,-0.00054,-0.001726,-0.005395
56,5.6,-0.354215,0.855053,4.007047,-0.45794,0.685355,4.39823,0.198887,-0.391182,0.400759,0.784454,-0.000167,-0.000437,-0.001674,-0.00437
57,5.7,-0.380196,0.82454,4.085493,-0.4703,0.647313,4.47677,0.198817,-0.391277,0.400599,0.78412,-0.00016,-0.000334,-0.001597,-0.00334
58,5.8,-0.403697,0.792097,4.163905,-0.479638,0.608418,4.555309,0.198759,-0.391404,0.40045,0.783886,-0.00015,-0.000235,-0.001496,-0.002347
59,5.9,-0.424576,0.757926,4.242293,-0.485896,0.568911,4.633849,0.198713,-0.391556,0.400312,0.783743,-0.000137,-0.000142,-0.001374,-0.001422
60,6.0,-0.442709,0.722237,4.320668,-0.489034,0.529034,4.712389,0.198679,-0.391721,0.400189,0.783684,-0.000123,-5.9e-05,-0.001232,-0.000591
61,6.1,-0.457988,0.68525,4.399036,-0.489034,0.489034,4.790929,0.198657,-0.391893,0.400082,0.783697,-0.000108,1.3e-05,-0.001075,0.000129
62,6.2,-0.47032,0.64719,4.477406,-0.485896,0.449157,4.869469,0.198644,-0.392063,0.399991,0.78377,-9.1e-05,7.3e-05,-0.000907,0.000729
63,6.3,-0.479633,0.60829,4.555783,-0.479638,0.40965,4.948008,0.19864,-0.392226,0.399918,0.783891,-7.3e-05,0.00012,-0.000733,0.001205
64,6.4,-0.48587,0.568788,4.634172,-0.4703,0.370755,5.026548,0.198644,-0.392376,0.399862,0.784046,-5.6e-05,0.000156,-0.000559,0.001558
65,6.5,-0.488995,0.528924,4.712577,-0.45794,0.332713,5.105088,0.198653,-0.392511,0.399823,0.784226,-3.9e-05,0.000179,-0.000392,0.001794
66,6.6,-0.488987,0.488941,4.790999,-0.442632,0.295758,5.183628,0.198667,-0.392629,0.399799,0.784418,-2.4e-05,0.000192,-0.000236,0.001925
67,6.7,-0.485848,0.449085,4.869441,-0.424473,0.260117,5.262168,0.198685,-0.392727,0.399789,0.784614,-1e-05,0.000196,-9.6e-05,0.001961
68,6.8,-0.479595,0.409598,4.947902,-0.403573,0.226012,5.340708,0.198704,-0.392805,0.399792,0.784806,2e-06,0.000192,2.4e-05,0.001918
69,6.9,-0.470266,0.370722,5.026383,-0.380061,0.193651,5.419247,0.198724,-0.392864,0.399804,0.784987,1.2e-05,0.000181,0.000122,0.00181
70,7.0,-0.457917,0.332697,5.104882,-0.354084,0.163235,5.497787,0.198743,-0.392905,0.399824,0.785152,2e-05,0.000165,0.000198,0.001651
71,7.1,-0.442624,0.295755,5.183397,-0.325799,0.13495,5.576327,0.198762,-0.39293,0.399849,0.785298,2.5e-05,0.000146,0.000252,0.001457
72,7.2,-0.42448,0.260124,5.261927,-0.295383,0.108973,5.654867,0.198778,-0.39294,0.399877,0.785422,2.8e-05,0.000124,0.000285,0.001241
73,7.3,-0.403595,0.226024,5.340469,-0.263022,0.085461,5.733407,0.198792,-0.392938,0.399907,0.785523,3e-05,0.000101,0.000299,0.001014
74,7.4,-0.380096,0.193665,5.419021,-0.228917,0.064561,5.811946,0.198804,-0.392925,0.399937,0.785602,3e-05,7.9e-05,0.000299,0.000787
75,7.5,-0.354129,0.163247,5.497581,-0.193276,0.046402,5.890486,0.198813,-0.392905,0.399966,0.785659,2.9e-05,5.7e-05,0.000285,0.000568
76,7.6,-0.325853,0.13496,5.576147,-0.156321,0.031094,5.969026,0.19882,-0.392879,0.399992,0.785695,2.6e-05,3.6e-05,0.000262,0.000365
77,7.7,-0.295442,0.108977,5.654717,-0.118279,0.018734,6.047566,0.198823,-0.392849,0.400015,0.785713,2.3e-05,1.8e-05,0.000234,0.000181
78,7.8,-0.263084,0.08546,5.733288,-0.079384,0.009396,6.126106,0.198825,-0.392817,0.400035,0.785716,2e-05,2e-06,0.000201,2.2e-05
79,7.9,-0.228978,0.064554,5.81186,-0.039877,0.003138,6.204645,0.198824,-0.392786,0.400052,0.785704,1.7e-05,-1.1e-05,0.000168,-0.000111
80,8.0,-0.193335,0.046389,5.89043,0.0,0.0,6.283185,0.198822,-0.392755,0.400066,0.785683,1.4e-05,-2.2e-05,0.000136,-0.000218
81,8.1,-0.156374,0.031077,5.968999,0.04,0.0,6.204645,0.198818,-0.235647,0.400076,0.785653,1.1e-05,-3e-05,0.000106,-0.000299
82,8.2,-0.118325,0.018713,6.047564,0.079877,-0.003138,6.126106,0.199403,-0.078542,0.400084,0.785617,8e-06,-3.5e-05,7.8e-05,-0.000354
83,8.3,-0.079422,0.009373,6.126126,0.119384,-0.009396,6.047566,0.19969,0.07856,0.400089,0.785579,5e-06,-3.9e-05,5.1e-05,-0.000385
84,8.4,-0.039906,0.003115,6.204683,0.158279,-0.018734,5.969026,0.199385,0.235657,0.400092,0.785539,2e-06,-4e-05,2.4e-05,-0.000395
85,8.5,-2e-05,-2.3e-05,6.283237,0.196321,-0.031094,5.890486,0.198784,0.392751,0.400091,0.715539,-0.0,-0.07,-3e-06,-0.7
86,8.6,0.03999,-2e-05,6.354791,0.233276,-0.046402,5.811946,0.198774,0.542845,0.379277,0.645539,-0.020814,-0.07,-0.20814,-0.7
87,8.7,0.07782,0.002693,6.419345,0.268917,-0.064561,5.733407,0.202586,0.685939,0.346108,0.575539,-0.033169,-0.07,-0.331693,-0.7
88,8.8,0.112111,0.007391,6.476899,0.303022,-0.085461,5.654867,0.212294,0.822032,0.309917,0.505539,-0.036191,-0.07,-0.361912,-0.7
89,8.9,0.142523,0.013357,6.527453,0.335383,-0.108973,5.576327,0.228385,0.951126,0.257417,0.435539,-0.0525,-0.07,-0.525,-0.7
90,9.0,0.1675,0.019583,6.571007,0.365799,-0.13495,5.497787,0.251402,1.07322,0.204917,0.365539,-0.0525,-0.07,-0.525,-0.7
91,9.1,0.187149,0.0254,6.607561,0.394084,-0.163235,5.419247,0.280009,1.188314,0.152417,0.295539,-0.0525,-0.07,-0.525,-0.7
92,9.2,0.201596,0.030257,6.637115,0.420061,-0.193651,5.340708,0.312829,1.296407,0.121357,0.225539,-0.03106,-0.07,-0.310602,-0.7
93,9.3,0.212979,0.034463,6.659669,0.443573,-0.226012,5.262168,0.34788,1.397501,0.081556,0.155539,-0.039801,-0.07,-0.398008,-0.7
94,9.4,0.220564,0.037462,6.675223,0.464473,-0.260117,5.183628,0.384766,1.491595,0.042524,0.085539,-0.039032,-0.07,-0.390319,-0.7
95,9.5,0.224493,0.039087,6.683777,0.482632,-0.295758,5.105088,0.422796,1.578689,0.010257,0.015539,-0.032267,-0.07,-0.322667,-0.7
96,9.6,0.225438,0.039487,6.685331,0.49794,-0.332713,5.026548,0.461291,1.658782,-0.012305,-0.054461,-0.022562,-0.07,-0.225623,-0.7
